# zprintpro.com 关键词机会台账 v1.2 | 数据源: gsc_data.csv 2026-08-26 20:18 GSC 84国全量 7d | 生成: 2026-08-28 | 口径: GSC 7d滚动 全部国家/地区 | 变更: v1.2 修正 C2 tier 标签为 pos 11-50 口径 | 用途: 每日 GSC 导出后重跑 build-keyword-ledger.py 按 query 对齐增量更新
query,lang,category,tier,priority_score,imps,clicks,ctr_pct,pos,ctr_flag,seasonal
大信封,zh-hk,信封/Envelope,A1-首页-CTR修复,178,89,0,0.0,2.16,0-click,
small batch stickers,en,貼紙/Sticker,A1-首页-CTR修复,112,56,0,0.0,6.95,0-click,
a1海報,zh-hk,海報/Poster,A1-首页-CTR修复,76,38,0,0.0,1.0,0-click,
公司信封,zh-hk,信封/Envelope,A1-首页-CTR修复,74,37,0,0.0,1.03,0-click,
智印港,zh-hk,品牌/Brand,A1-首页-CTR修复,70,35,9,25.71,2.11,OK,
a2 海報 印刷,zh-hk,海報/Poster,A1-首页-CTR修复,62,31,0,0.0,5.74,0-click,
a2海報,zh-hk,海報/Poster,A1-首页-CTR修复,40,20,0,0.0,1.2,0-click,
mtr 12 sheet size,en,其他/Other,A1-首页-CTR修复,36,18,0,0.0,8.56,0-click,
pvc貼紙,zh-hk,貼紙/Sticker,A1-首页-CTR修复,36,18,0,0.0,7.0,0-click,
燙金貼紙,zh-hk,貼紙/Sticker,A1-首页-CTR修复,36,18,0,0.0,2.83,0-click,
大紙袋,zh-hk,紙袋/PaperBag,A1-首页-CTR修复,34,17,0,0.0,8.94,0-click,
fluorescent stickers,en,貼紙/Sticker,A1-首页-CTR修复,32,16,0,0.0,9.62,0-click,
a5 a6 尺寸,zh-hk,其他/Other,A1-首页-CTR修复,30,15,0,0.0,9.53,0-click,
a5 vs a6 flyer,en,宣傳單/Flyer,A1-首页-CTR修复,28,14,0,0.0,7.07,0-click,
batch stickers,en,貼紙/Sticker,A1-首页-CTR修复,28,14,0,0.0,2.07,0-click,
a2 印刷 即日,zh-hk,即日/Rush,A1-首页-CTR修复,26,13,2,15.38,7.46,OK,
a1 海報,zh-hk,海報/Poster,A1-首页-CTR修复,26,13,0,0.0,2.0,0-click,
特種紙,zh-hk,其他/Other,A1-首页-CTR修复,26,13,0,0.0,6.08,0-click,
ダイカット ステッカー 防水,ja,貼紙/Sticker,A1-首页-CTR修复,24,12,0,0.0,4.42,0-click,
新蒲崗影印,zh-hk,其他/Other,A1-首页-CTR修复,24,12,0,0.0,9.0,0-click,
新蒲崗影印舖,zh-hk,其他/Other,A1-首页-CTR修复,24,12,0,0.0,9.75,0-click,
牛皮紙盒,zh-hk,包裝/Packaging,A1-首页-CTR修复,24,12,0,0.0,1.75,0-click,
防偽貼紙,zh-hk,貼紙/Sticker,A1-首页-CTR修复,24,12,0,0.0,4.33,0-click,
彩色信封,zh-hk,信封/Envelope,A1-首页-CTR修复,22,11,0,0.0,2.55,0-click,
zprin,en,品牌/Brand,A1-首页-CTR修复,20,10,0,0.0,8.0,0-click,
同人誌 印刷,zh-hk,書籍/Book,A1-首页-CTR修复,20,10,0,0.0,6.5,0-click,
地鐵燈箱廣告尺寸,zh-hk,其他/Other,A1-首页-CTR修复,20,10,0,0.0,6.6,0-click,
酒水牌,zh-hk,餐牌/Menu,A1-首页-CTR修复,20,10,0,0.0,4.4,0-click,
pvc 貼紙,zh-hk,貼紙/Sticker,A1-首页-CTR修复,18,9,1,11.11,9.22,OK,
印poster,zh-hk,海報/Poster,A1-首页-CTR修复,18,9,0,0.0,10.0,0-click,
海報紙質,zh-hk,海報/Poster,A1-首页-CTR修复,18,9,0,0.0,6.33,0-click,
can badge size,en,咭片/Card,A1-首页-CTR修复,16,8,0,0.0,8.38,0-click,
印刷紙,zh-hk,其他/Other,A1-首页-CTR修复,16,8,0,0.0,7.75,0-click,
同人周邊製作,zh-hk,書籍/Book,A1-首页-CTR修复,16,8,0,0.0,6.0,0-click,
證書紙材質,zh-hk,書籍/Book,A1-首页-CTR修复,16,8,0,0.0,7.62,0-click,
同人印刷,zh-hk,書籍/Book,A1-首页-CTR修复,14,7,1,14.29,6.43,OK,
同人誌印刷,zh-hk,書籍/Book,A1-首页-CTR修复,14,7,1,14.29,7.0,OK,
a2印刷,zh-hk,其他/Other,A1-首页-CTR修复,14,7,0,0.0,9.43,0-click,
alipay flash collect,en,其他/Other,A1-首页-CTR修复,14,7,0,0.0,6.43,0-click,
standard can badge size,en,咭片/Card,A1-首页-CTR修复,14,7,0,0.0,8.86,0-click,
作業簿,zh-hk,其他/Other,A1-首页-CTR修复,14,7,0,0.0,3.43,0-click,
a2海報尺寸,zh-hk,海報/Poster,A1-首页-CTR修复,12,6,0,0.0,9.67,0-click,
poster 尺寸,zh-hk,海報/Poster,A1-首页-CTR修复,12,6,0,0.0,4.83,0-click,
print catalog hong kong,en,目錄/Catalog,A1-首页-CTR修复,12,6,0,0.0,9.5,0-click,
厚紙,zh-hk,其他/Other,A1-首页-CTR修复,12,6,0,0.0,2.67,0-click,
同人紙,zh-hk,書籍/Book,A1-首页-CTR修复,12,6,0,0.0,8.0,0-click,
