总 SKU 带 basePrice: 85
slug,cat,HKD,USD,JPY,en倍率(en/hkd),ja倍率(jpy/hkd)
business-cards,?,1,0.13,20,0.130,20.0
business-cards,?,1.2,0.15,23,0.125,19.2
business-cards,?,1.8,0.23,35,0.128,19.4
business-cards,?,1.4,0.18,27,0.129,19.3
business-cards,?,1.1,0.14,21,0.127,19.1
business-cards,?,1,0.13,20,0.130,20.0
stickers,?,0.22,0.32,41,1.455,186.4
stickers,?,0.38,0.41,51,1.079,134.2
stickers,?,0.45,0.37,46,0.822,102.2
stickers,?,38,0.55,69,0.014,1.8
stickers,?,0.58,0.46,60,0.793,103.4
stickers,?,0.78,0.51,64,0.654,82.1
stickers,?,1.15,0.41,51,0.357,44.3
stickers,?,0.52,0.46,60,0.885,115.4
paper-bags,?,8,0.55,74,0.069,9.3
paper-bags,?,12,0.92,120,0.077,10.0
paper-bags,?,20,1.1,147,0.055,7.3
paper-bags,?,8,0.64,83,0.080,10.4
paper-bags,?,8,0.83,110,0.104,13.8
paper-bags,?,15,1.01,138,0.067,9.2
flyers,?,0.22,0.55,70,2.500,318.2
flyers,?,0.18,0.4,50,2.222,277.8
flyers,?,0.27,0.65,85,2.407,314.8
flyers,?,0.55,0.8,110,1.455,200.0
flyers,?,0.35,0.7,95,2.000,271.4
flyers,?,0.27,0.6,75,2.222,277.8
flyers,?,0.4,0.95,125,2.375,312.5
posters,?,10,1.38,184,0.138,18.4
posters,?,20,2.3,322,0.115,16.1
posters,?,16,1.84,258,0.115,16.1
posters,?,32,1.66,221,0.052,6.9
posters,?,26,2.76,368,0.106,14.2
posters,?,13,1.38,184,0.106,14.2
packaging,?,4,0.83,110,0.207,27.5
packaging,?,8,1.01,138,0.126,17.3
packaging,?,2.5,0.74,101,0.296,40.4
packaging,?,1.8,0.55,74,0.306,41.1
packaging,?,2.5,0.51,69,0.204,27.6
packaging,?,8,1.38,184,0.172,23.0
red-packets,?,1.1,0.46,64,0.418,58.2
red-packets,?,3,0.92,129,0.307,43.0
red-packets,?,1.9,0.74,103,0.389,54.2
red-packets,?,1.1,0.46,64,0.418,58.2
red-packets,?,1.9,0.74,103,0.389,54.2
red-packets,?,2.2,0.92,129,0.418,58.6
calendars,?,12,4.6,644,0.383,53.7
calendars,?,16,5.52,773,0.345,48.3
calendars,?,20,7.36,1030,0.368,51.5
calendars,?,6,2.76,386,0.460,64.3
calendars,?,24,9.2,1288,0.383,53.7
calendars,?,10,3.68,515,0.368,51.5
menus,?,8,2.76,386,0.345,48.3
menus,?,5,1.84,258,0.368,51.6
menus,?,28,9.2,1288,0.329,46.0
menus,?,12,3.68,515,0.307,42.9
menus,?,0.22,0.14,20,0.636,90.9
banners,?,12,1.84,258,0.153,21.5
banners,?,85,46,6440,0.541,75.8
banners,?,10,1.38,194,0.138,19.4
banners,?,28,4.6,644,0.164,23.0
banners,?,16,1.84,258,0.115,16.1
books,?,24,4.6,644,0.192,26.8
books,?,6,1.84,258,0.307,43.0
books,?,16,4.6,644,0.287,40.3
books,?,40,13.8,1932,0.345,48.3
books,?,8,2.76,386,0.345,48.3
envelopes,?,0.22,0.14,20,0.636,90.9
envelopes,?,0.38,0.18,25,0.474,65.8
envelopes,?,0.6,0.28,39,0.467,65.0
envelopes,?,1.15,0.46,64,0.400,55.7
educational,?,4,1.84,258,0.460,64.5
educational,?,8,2.76,386,0.345,48.3
educational,?,0.2,0.14,20,0.700,100.0
educational,?,24,9.2,1288,0.383,53.7
educational,?,45,5.76,878,0.128,19.5
packaging,?,15,2.3,322,0.153,21.5
packaging,?,8,0.92,129,0.115,16.1
packaging,?,5,0.64,87,0.128,17.4
packaging,?,12,1.66,230,0.138,19.2
stickers,?,0.22,0.23,32,1.045,145.5
japan-doujin,?,7500,960,146250,0.128,19.5
japan-doujin,?,2275,291.2,44362,0.128,19.5
japan-doujin,?,1200,153.6,23400,0.128,19.5
japan-doujin,?,750,96,14625,0.128,19.5
japan-doujin,?,9000,1152,175500,0.128,19.5
