国家/地区,点击次数,展示,点击率,排名
中国香港,89,4534,1.96%,28.04
美国,7,939,0.75%,32.08
日本,7,718,0.97%,42.18
澳大利亚,3,45,6.67%,9.62
新西兰,3,10,30%,15.2
台湾,2,121,1.65%,18.12
加拿大,2,71,2.82%,41.54
法国,2,22,9.09%,14.55
英国,1,130,0.77%,22.51
中国,1,82,1.22%,18.74
葡萄牙,1,8,12.5%,41.75
越南,0,177,0%,31.45
沙特阿拉伯,0,60,0%,50.02
印度,0,50,0%,20.04
巴西,0,48,0%,29.69
泰国,0,47,0%,27.28
马来西亚,0,46,0%,27.52
荷兰,0,43,0%,45.42
菲律宾,0,38,0%,22.74
新加坡,0,37,0%,7.73
巴基斯坦,0,35,0%,25.06
德国,0,32,0%,23.56
阿拉伯联合酋长国,0,32,0%,42.75
俄罗斯,0,27,0%,32.41
乌克兰,0,26,0%,31.58
孟加拉,0,23,0%,30.3
澳门,0,21,0%,7.1
印度尼西亚,0,19,0%,17.84
墨西哥,0,19,0%,24.11
埃及,0,19,0%,25.47
西班牙,0,15,0%,26.33
尼日利亚,0,14,0%,10.71
南非,0,14,0%,14.64
瑞士,0,14,0%,17.64
摩洛哥,0,14,0%,33.64
土耳其,0,14,0%,39.5
意大利,0,12,0%,23.67
约旦,0,12,0%,35.17
韩国,0,11,0%,12.09
挪威,0,11,0%,24.27
阿尔及利亚,0,11,0%,37.45
伊拉克,0,9,0%,34.78
阿根廷,0,7,0%,14.71
比利时,0,7,0%,32.57
以色列,0,7,0%,43.14
芬兰,0,6,0%,20.83
波兰,0,6,0%,55.83
伊朗,0,5,0%,8.2
爱尔兰,0,5,0%,16
丹麦,0,5,0%,23
肯尼亚,0,5,0%,23.6
罗马尼亚,0,5,0%,32.4
哥斯达黎加,0,4,0%,5.75
哥伦比亚,0,4,0%,10.25
匈牙利,0,3,0%,5.33
加纳,0,3,0%,6.67
秘鲁,0,3,0%,10.33
瑞典,0,3,0%,10.33
突尼斯,0,3,0%,16.67
阿尔巴尼亚,0,3,0%,37
格鲁吉亚,0,2,0%,2.5
塞浦路斯,0,2,0%,4
希腊,0,2,0%,4.5
多米尼加共和国,0,2,0%,5.5
斯洛文尼亚,0,2,0%,7
洪都拉斯,0,2,0%,17.5
文莱,0,2,0%,22.5
斯洛伐克,0,2,0%,22.5
柬埔寨,0,2,0%,33.5
捷克,0,2,0%,45.5
蒙古,0,2,0%,48.5
尼泊尔,0,2,0%,62
白俄罗斯,0,2,0%,63
奥地利,0,1,0%,1
马达加斯加,0,1,0%,1
阿曼,0,1,0%,1
乌拉圭,0,1,0%,1
巴哈马,0,1,0%,2
津巴布韦,0,1,0%,2
黎巴嫩,0,1,0%,4
缅甸,0,1,0%,4
卡塔尔,0,1,0%,4
科特迪瓦,0,1,0%,5
克罗地亚,0,1,0%,5
埃塞俄比亚,0,1,0%,6
莱索托,0,1,0%,6
马耳他,0,1,0%,6
巴布亚新几内亚,0,1,0%,6
乌干达,0,1,0%,6
马其顿,0,1,0%,7
波斯尼亚和黑塞哥维那,0,1,0%,8
博茨瓦纳,0,1,0%,9
多哥,0,1,0%,9
保加利亚,0,1,0%,10
爱沙尼亚,0,1,0%,10
老挝,0,1,0%,10
厄瓜多尔,0,1,0%,11
科威特,0,1,0%,11
索马里,0,1,0%,11
智利,0,1,0%,12
吉尔吉斯斯坦,0,1,0%,15
坦桑尼亚,0,1,0%,16
塔吉克斯坦,0,1,0%,21
巴拉圭,0,1,0%,42
毛里求斯,0,1,0%,53
