国家/地区,点击次数,展示,点击率,排名
中国香港,32,1249,2.56%,25.19
法国,2,14,14.29%,17.71
美国,1,352,0.28%,46.78
日本,1,292,0.34%,44.38
英国,1,49,2.04%,21.41
台湾,1,34,2.94%,29.15
澳大利亚,1,20,5%,5.5
越南,0,66,0%,30.77
沙特阿拉伯,0,39,0%,48.13
泰国,0,28,0%,30.43
加拿大,0,28,0%,62.89
印度,0,24,0%,32.08
荷兰,0,24,0%,70.75
俄罗斯,0,21,0%,35
菲律宾,0,19,0%,22.21
马来西亚,0,19,0%,27.68
乌克兰,0,18,0%,28.22
巴基斯坦,0,14,0%,24.86
孟加拉,0,13,0%,28.31
巴西,0,13,0%,35
墨西哥,0,12,0%,29.83
约旦,0,12,0%,35.17
土耳其,0,12,0%,36.67
新加坡,0,11,0%,7.27
中国,0,11,0%,13.27
阿尔及利亚,0,10,0%,36.8
印度尼西亚,0,9,0%,20.78
摩洛哥,0,8,0%,36.5
西班牙,0,7,0%,26.86
伊拉克,0,7,0%,41
阿拉伯联合酋长国,0,7,0%,57.43
尼日利亚,0,6,0%,14.67
德国,0,6,0%,40.33
南非,0,5,0%,19.4
韩国,0,4,0%,6.75
澳门,0,4,0%,13
哥斯达黎加,0,3,0%,4.67
瑞士,0,3,0%,14
阿根廷,0,3,0%,19.33
肯尼亚,0,3,0%,22.33
埃及,0,3,0%,47.67
葡萄牙,0,3,0%,49.33
意大利,0,3,0%,50.33
波兰,0,3,0%,58.67
挪威,0,3,0%,69
多米尼加共和国,0,2,0%,5.5
新西兰,0,2,0%,6
斯洛文尼亚,0,2,0%,7
斯洛伐克,0,2,0%,22.5
捷克,0,2,0%,45.5
比利时,0,2,0%,62
希腊,0,1,0%,1
津巴布韦,0,1,0%,2
罗马尼亚,0,1,0%,4
克罗地亚,0,1,0%,5
匈牙利,0,1,0%,5
埃塞俄比亚,0,1,0%,6
伊朗,0,1,0%,6
巴布亚新几内亚,0,1,0%,6
加纳,0,1,0%,7
马其顿,0,1,0%,7
瑞典,0,1,0%,7
波斯尼亚和黑塞哥维那,0,1,0%,8
洪都拉斯,0,1,0%,9
保加利亚,0,1,0%,10
爱沙尼亚,0,1,0%,10
突尼斯,0,1,0%,10
厄瓜多尔,0,1,0%,11
科威特,0,1,0%,11
坦桑尼亚,0,1,0%,16
以色列,0,1,0%,53
柬埔寨,0,1,0%,66
