国家/地区,点击,展示,CTR,排名
中国香港,38,1514,2.51%,21.59
,,,,,
设备,点击,展示,CTR,排名
桌面,22,844,2.61%,24.31
移动设备,15,657,2.28%,18.42
平板电脑,1,13,7.69%,5.46
,,,,,
日期,点击,展示,CTR,排名
2026-08-04,9,189,4.76%,18.9
2026-08-05,2,208,0.96%,21.7
2026-08-06,1,187,0.53%,19.2
2026-08-07,7,238,2.94%,26.2
2026-08-08,4,200,2%,24.1
2026-08-09,4,223,1.79%,21.8
2026-08-10,11,269,4.09%,19
,,,,,
热门查询,点击,展示,CTR,排名
z print,2,3,66.67%,2
智印港,2,2,100%,1
證書印刷,1,6,16.67%,10.33
印海報價錢,1,1,100%,22
宣傳單張,0,37,0%,37.16
月曆印刷,0,36,0%,19.39
宣傳單張印刷,0,36,0%,30.31
貼紙印刷,0,33,0%,37.76
印海報,0,25,0%,32.36
海報印刷,0,24,0%,29.83
貼紙,0,20,0%,54.6
戶外貼紙,0,18,0%,22.11
包裝盒印刷,0,18,0%,39.22
紙盒訂製,0,18,0%,44.56
戶外橫額,0,18,0%,58.28
poster 印刷,0,17,0%,27.76
印書,0,17,0%,34.76
餐牌印刷,0,16,0%,15.81
包裝盒訂製,0,16,0%,27.38
月歷印刷,0,16,0%,31.5
騎馬釘印刷,0,16,0%,35.25
,,,,,
排名靠前的网页,点击,展示,CTR,排名
/zh-hk/,4,6,66.67%,1.67
/zh-hk/category/posters/,1,44,2.27%,56.77
/zh-hk/product/certificates/,1,13,7.69%,12.38
/zh-hk/product/a2-posters/,0,85,0%,22.2
/zh-hk/category/stickers/,0,84,0%,37.52
/zh-hk/product/a5-flyers/,0,70,0%,39.83
/zh-hk/category/flyers/,0,70,0%,49.01
/zh-hk/category/packaging/,0,65,0%,37.17
/zh-hk/category/calendars/,0,63,0%,24.57
/zh-hk/product/a4-flyers/,0,63,0%,60.03
/zh-hk/category/paper-bags/,0,55,0%,38.98
/zh-hk/product/saddle-stitch-booklets/,0,49,0%,40.12
/zh-hk/product/eco-paper-bags/,0,45,0%,59.56
/zh-hk/services/rush-printing-delivery/,0,31,0%,44.55
/zh-hk/blog/packaging-box-custom-guide/,0,29,0%,69.83
