国家/地区,点击,展示,CTR,排名
日本,7,385,1.82%,28.79
,,,,,
设备,点击,展示,CTR,排名
移动设备,4,128,3.12%,12.97
桌面,3,254,1.18%,37.04
平板电脑,0,3,0%,6.33
,,,,,
日期,点击,展示,CTR,排名
2026-08-04,1,50,2%,27.9
2026-08-05,1,56,1.79%,27.2
2026-08-06,2,50,4%,28.3
2026-08-07,1,55,1.82%,35.6
2026-08-08,1,58,1.72%,31.4
2026-08-09,0,53,0%,26.5
2026-08-10,1,63,1.59%,24.8
,,,,,
热门查询,点击,展示,CTR,排名
両面カラー印刷,0,31,0%,22.35
教材 印刷製本,0,17,0%,50.88
印刷 カラー モード,0,14,0%,76.93
印刷 カラー cmyk,0,10,0%,90.3
a5とa6どっちが大きい,0,9,0%,11.78
クラフト紙 パッケージ 印刷,0,8,0%,34.75
クラフト紙 パッケージ印刷,0,8,0%,35.38
教材 印刷 製本,0,8,0%,51.38
食品 パッケージ,0,7,0%,61.57
教材 テキスト印刷,0,6,0%,47.5
pvc シール,0,5,0%,22.8
教科書 印刷,0,5,0%,46
ステッカー印刷 小ロット,0,5,0%,51.4
名刺 角丸,0,5,0%,59.4
rgb 印刷,0,5,0%,79
ダイカット ステッカー 防水,0,4,0%,7
マグネットレス 貼り箱,0,4,0%,50.25
a2 クリアポスター 印刷,0,3,0%,49.33
a2 ポスター 印刷,0,3,0%,55.33
教材 製本,0,3,0%,64.33
a6 a5 サイズ比較,0,2,0%,10
,,,,,
排名靠前的网页,点击,展示,CTR,排名
/ja/product/textbooks/,0,39,0%,50.87
/ja/product/double-sided-flyers/,0,31,0%,22.35
/ja/blog/cmyk-guide/,0,30,0%,81.93
/ja/product/kraft-paper-packaging-box/,0,17,0%,34.65
/ja/blog/a5-vs-a6-flyer-size/,0,16,0%,17
/ja/product/a2-posters/,0,12,0%,53.17
/ja/product/waterproof-stickers/,0,10,0%,19.6
/ja/product/small-batch-stickers/,0,10,0%,49.9
/ja/product/food-boxes/,0,7,0%,61.57
/ja/blog/poster-size-guide/,0,5,0%,47.4
/ja/product/rounded-corner-cards/,0,5,0%,59.4
/ja/product/magnetic-closure-gift-box/,0,4,0%,50.25
/ja/category/japan-doujin/,0,4,0%,64
/ja/product/large-envelopes/,0,3,0%,26.67
/ja/product/outdoor-posters/,0,3,0%,55.67
