国家/地区,点击,展示,CTR,排名
中国香港,38,1514,2.51%,21.59
日本,7,385,1.82%,28.79
马来西亚,1,36,2.78%,20.83
中国,1,14,7.14%,9.79
墨西哥,1,14,7.14%,28.07
,,,,,
设备,点击,展示,CTR,排名
桌面,29,2129,1.36%,30.73
移动设备,19,1056,1.8%,17.99
平板电脑,1,18,5.56%,5.94
,,,,,
日期,点击,展示,CTR,排名
2026-08-04,11,402,2.74%,25.3
2026-08-05,4,434,0.92%,25.7
2026-08-06,3,436,0.69%,24.7
2026-08-07,8,433,1.85%,29
2026-08-08,5,410,1.22%,27.7
2026-08-09,4,498,0.8%,31
2026-08-10,14,590,2.37%,22.2
,,,,,
热门查询,点击,展示,CTR,排名
z print,2,4,50%,3
智印港,2,2,100%,1
證書印刷,1,6,16.67%,10.33
印海報價錢,1,1,100%,22
宣傳單張,0,37,0%,37.16
月曆印刷,0,36,0%,19.39
宣傳單張印刷,0,36,0%,30.31
貼紙印刷,0,33,0%,37.76
両面カラー印刷,0,31,0%,22.35
印海報,0,25,0%,32.36
海報印刷,0,24,0%,29.83
saddle stitch booklet,0,24,0%,78.75
貼紙,0,20,0%,54.6
saddle stitch booklets,0,19,0%,89.21
戶外貼紙,0,18,0%,22.11
包裝盒印刷,0,18,0%,39.22
紙盒訂製,0,18,0%,44.56
戶外橫額,0,18,0%,58.28
poster 印刷,0,17,0%,27.76
school exercise book print,0,17,0%,31.76
印書,0,17,0%,34.76
,,,,,
排名靠前的网页,点击,展示,CTR,排名
/zh-hk/,6,11,54.55%,1.73
/zh-hk/category/posters/,5,63,7.94%,43.25
/zh-hk/product/certificates/,4,37,10.81%,10.89
/ja/product/doujinshi-printing/,3,27,11.11%,6.41
/zh-hk/blog/doujin-circle-printing-guide/,2,38,5.26%,5.79
/zh-hk/blog/a5-vs-a6-flyer-size/,2,28,7.14%,7.64
/zh-hk/product/foil-greeting-cards/,2,16,12.5%,6.25
/zh-hk/product/a2-posters/,1,148,0.68%,15.88
/zh-hk/category/stickers/,1,105,0.95%,32.56
/zh-hk/category/flyers/,1,84,1.19%,42.31
/zh-hk/product/a5-flyers/,1,81,1.23%,35.7
/zh-hk/blog/mtr-advertising-specs/,1,46,2.17%,8
/en/blog/poster-printing-price-guide/,1,35,2.86%,9.83
/zh-hk/product/doujinshi-printing/,1,19,5.26%,6.42
/zh-hk/product/school-flyers/,1,14,7.14%,12.57
