locale	slug	status_first_pass	has_description_after	final_state	desc_char_len
zh-hk	flyer-buying-guide	200	YES	HAS_DESC	64
zh-hk	sticker-buying-guide	200	YES	HAS_DESC	56
zh-hk	packaging-buying-guide	200	YES	HAS_DESC	48
zh-hk	paper-bag-buying-guide	200	YES	HAS_DESC	46
zh-hk	poster-buying-guide	200	YES	HAS_DESC	51
zh-hk	banner-buying-guide	200	YES	HAS_DESC	49
zh-hk	book-buying-guide	200	YES	HAS_DESC	41
zh-hk	menu-buying-guide	200	YES	HAS_DESC	51
zh-hk	company-intro	200	YES	HAS_DESC	70
zh-hk	sticker-guide	200	YES	HAS_DESC	87
zh-hk	sticker-design	200	YES	HAS_DESC	45
zh-hk	packaging-trends	200	YES	HAS_DESC	39
zh-hk	paper-materials	200	YES	HAS_DESC	44
zh-hk	eco-printing	200	YES	HAS_DESC	44
zh-hk	cmyk-guide	200	YES	HAS_DESC	49
zh-hk	brand-materials-checklist	200	YES	HAS_DESC	81
zh-hk	design-file-specs	200	YES	HAS_DESC	94
zh-hk	hong-kong-printing-guide	200	YES	HAS_DESC	95
zh-hk	flyer-printing-guide	200	YES	HAS_DESC	110
zh-hk	mtr-advertising-specs	200	YES	HAS_DESC	76
zh-hk	food-packaging-printing-guide	200	YES	HAS_DESC	125
zh-hk	paper-bag-printing-guide	200	YES	HAS_DESC	140
zh-hk	poster-printing-guide	200	YES	HAS_DESC	197
zh-hk	saddle-stitch-booklet-printing-guide	200	YES	HAS_DESC	114
zh-hk	packaging-box-custom-guide	200	YES	HAS_DESC	79
zh-hk	restaurant-opening-flyer-printing-guide	200	YES	HAS_DESC	89
zh-hk	pet-food-sticker-printing-guide	200	YES	HAS_DESC	111
zh-hk	cross-border-ecommerce-shipping-box-guide	200	YES	HAS_DESC	179
zh-hk	cosmetics-packaging-box-printing-guide	200	YES	HAS_DESC	94
zh-hk	tea-beverage-gift-box-printing-guide	200	YES	HAS_DESC	229
zh-hk	wedding-invitation-pricing-guide	200	NO	MISSING	
zh-hk	wedding-favor-bag-printing-guide	200	YES	HAS_DESC	259
zh-hk	wedding-invitation-cost-guide	200	NO	MISSING	
zh-hk	wedding-table-card-printing-guide	200	NO	MISSING	
zh-hk	retail-shop-poster-printing-guide	200	YES	HAS_DESC	250
zh-hk	wedding-red-packet-printing-guide	200	YES	HAS_DESC	263
zh-hk	restaurant-menu-printing-guide	200	YES	HAS_DESC	254
zh-hk	real-estate-brochure-box-printing-guide	200	YES	HAS_DESC	121
zh-hk	pharmaceutical-label-printing-guide	200	YES	HAS_DESC	138
zh-hk	jewellery-shopping-bag-printing-guide	200	YES	HAS_DESC	132
zh-hk	product-label-printing-guide	200	YES	HAS_DESC	144
zh-hk	graduation-yearbook-printing-guide	200	YES	HAS_DESC	136
zh-hk	ip-character-sticker-printing-guide	200	YES	HAS_DESC	136
zh-hk	trade-show-banner-printing-guide	200	YES	HAS_DESC	150
zh-hk	doujin-circle-printing-guide	200	YES	HAS_DESC	150
zh-hk	wedding-invitation-envelope-printing-guide	200	YES	HAS_DESC	139
zh-hk	hotel-amenity-sticker-printing-guide	200	YES	HAS_DESC	86
zh-hk	finance-summit-gift-bag-printing-guide	200	YES	HAS_DESC	105
zh-hk	marathon-event-poster-printing-guide	200	YES	HAS_DESC	114
zh-hk	car-dealership-amenity-sticker-printing-guide	200	YES	HAS_DESC	130
zh-hk	hotel-keycard-sleeve-printing-guide	200	YES	HAS_DESC	124
zh-hk	baby-product-label-sticker-printing-guide	200	YES	HAS_DESC	386
zh-hk	ecommerce-shipping-bag-printing-guide	200	YES	HAS_DESC	355
zh-hk	thick-paper-flyer-printing-restaurant-takeout-guide	200	YES	HAS_DESC	265
zh-hk	media-merchandise-box-printing-guide	200	YES	HAS_DESC	404
zh-hk	magnetic-closure-gift-box-ecommerce-brand-guide	200	YES	HAS_DESC	221
zh-hk	folding-box-cosmetics-brand-eco-friendly-guide	200	YES	HAS_DESC	193
zh-hk	industrial-nameplate-printing-guide	200	YES	HAS_DESC	155
zh-hk	construction-material-sample-book-printing-guide	200	YES	HAS_DESC	81
zh-hk	religious-ceremony-printing-guide	200	YES	HAS_DESC	97
zh-hk	baby-food-packaging-box-printing-guide	200	YES	HAS_DESC	100
zh-hk	real-estate-flyer-printing-guide	200	YES	HAS_DESC	105
zh-hk	medical-device-packaging-box-guide	200	YES	HAS_DESC	108
zh-hk	sports-merchandise-gift-box-printing-guide	200	YES	HAS_DESC	102
zh-hk	auto-parts-shopping-bag-printing-guide	200	YES	HAS_DESC	100
zh-hk	apparel-shopping-bag-printing-guide	200	YES	HAS_DESC	143
zh-hk	custom-card-boxes-small-batch-usa	200	YES	HAS_DESC	115
zh-hk	gang-run-card-boxes-hk-guide	200	YES	HAS_DESC	139
zh-hk	cosmetic-card-boxes-gang-run-japan	200	YES	HAS_DESC	94
zh-hk	financial-institution-gift-bag-printing-guide	200	YES	HAS_DESC	102
zh-hk	real-estate-floor-plan-poster-printing-guide	200	YES	HAS_DESC	119
zh-hk	same-day-flyers-printing-hong-kong-guide	200	YES	HAS_DESC	161
zh-hk	rush-printing-hk-guide	200	YES	HAS_DESC	109
zh-hk	calendar-printing-guide	200	YES	HAS_DESC	85
zh-hk	packaging-box-pricing-2026	200	YES	HAS_DESC	136
zh-hk	poster-size-guide	200	YES	HAS_DESC	116
zh-hk	a5-vs-a6-flyer-size	200	YES	HAS_DESC	121
zh-hk	poster-printing-price-guide	200	YES	HAS_DESC	125
zh-hk	catalog-printing-guide	200	YES	HAS_DESC	90
zh-hk	2027-monthly-calendar-printing-timetable	200	YES	HAS_DESC	118
zh-hk	catalog-printing-china-supplier-guide	200	YES	HAS_DESC	208
zh-hk	large-envelope-printing-c4-c5	200	YES	HAS_DESC	221
zh-hk	instant-printing-30s-ai-quote-flow	200	YES	HAS_DESC	161
zh-hk	sticker-material-pvc-vinyl-removable	200	YES	HAS_DESC	197
zh-hk	campus-education-printing-pillar-guide	200	YES	HAS_DESC	62
zh-hk	foil-stamping-3-applications-2026	200	YES	HAS_DESC	140
zh-hk	kraft-paper-box-types-comparison-2026	200	YES	HAS_DESC	216
zh-hk	hong-kong-printing-cost-baseline-2026	200	YES	HAS_DESC	143
zh-hk	textbook-printing-guide	200	YES	HAS_DESC	121
zh-hk	print-specifications-reference-guide-2026	200	YES	HAS_DESC	143
zh-hk	school-exercise-book-printing-guide	200	YES	HAS_DESC	88
zh-hk	apparel-clothing-tag-printing-guide	200	YES	HAS_DESC	82
zh-hk	certificate-printing-guide	200	YES	HAS_DESC	485
zh-hk	2027-calendar-printing-complete-guide	200	YES	HAS_DESC	232
zh-hk	rush-printing-delivery-guide	200	YES	HAS_DESC	172
zh-hk	packaging-box-price-2026	200	YES	HAS_DESC	160
zh-hk	zine-small-batch-booklet-printing-guide	200	YES	HAS_DESC	115
zh-hk	childrens-picture-book-printing-guide	200	YES	HAS_DESC	116
zh-hk	photo-book-printing-guide	200	YES	HAS_DESC	89
en	sticker-buying-guide	200	YES	HAS_DESC	144
en	flyer-buying-guide	200	YES	HAS_DESC	115
en	poster-buying-guide	200	YES	HAS_DESC	116
en	paper-bag-buying-guide	200	YES	HAS_DESC	94
en	packaging-buying-guide	200	YES	HAS_DESC	108
en	banner-buying-guide	200	YES	HAS_DESC	99
en	menu-buying-guide	200	YES	HAS_DESC	111
en	book-buying-guide	200	YES	HAS_DESC	108
en	company-intro	200	YES	HAS_DESC	139
en	sticker-design	200	YES	HAS_DESC	45
en	sticker-guide	200	YES	HAS_DESC	87
en	packaging-trends	200	YES	HAS_DESC	39
en	cmyk-guide	200	YES	HAS_DESC	49
en	paper-materials	200	YES	HAS_DESC	44
en	hong-kong-printing-guide	200	YES	HAS_DESC	249
en	eco-printing	200	YES	HAS_DESC	44
en	brand-materials-checklist	200	YES	HAS_DESC	81
en	mtr-advertising-specs	200	YES	HAS_DESC	260
en	flyer-printing-guide	200	YES	HAS_DESC	250
en	food-packaging-printing-guide	200	YES	HAS_DESC	125
en	paper-bag-printing-guide	200	YES	HAS_DESC	133
en	saddle-stitch-booklet-printing-guide	200	YES	HAS_DESC	285
en	poster-printing-guide	200	YES	HAS_DESC	270
en	packaging-box-custom-guide	200	YES	HAS_DESC	179
en	restaurant-opening-flyer-printing-guide	200	YES	HAS_DESC	236
en	pet-food-sticker-printing-guide	200	YES	HAS_DESC	241
en	cross-border-ecommerce-shipping-box-guide	200	YES	HAS_DESC	270
en	cosmetics-packaging-box-printing-guide	200	YES	HAS_DESC	267
en	tea-beverage-gift-box-printing-guide	200	YES	HAS_DESC	255
en	design-file-specs	200	YES	HAS_DESC	94
en	wedding-invitation-pricing-guide	200	NO	MISSING	
en	wedding-favor-bag-printing-guide	200	YES	HAS_DESC	293
en	wedding-invitation-cost-guide	200	NO	MISSING	
en	wedding-table-card-printing-guide	200	NO	MISSING	
en	retail-shop-poster-printing-guide	200	YES	HAS_DESC	258
en	restaurant-menu-printing-guide	200	YES	HAS_DESC	282
en	wedding-red-packet-printing-guide	200	YES	HAS_DESC	263
en	real-estate-brochure-box-printing-guide	200	YES	HAS_DESC	316
en	pharmaceutical-label-printing-guide	200	YES	HAS_DESC	290
en	product-label-printing-guide	200	YES	HAS_DESC	359
en	jewellery-shopping-bag-printing-guide	200	YES	HAS_DESC	278
en	graduation-yearbook-printing-guide	200	YES	HAS_DESC	349
en	ip-character-sticker-printing-guide	200	YES	HAS_DESC	367
en	wedding-invitation-envelope-printing-guide	200	YES	HAS_DESC	241
en	trade-show-banner-printing-guide	200	YES	HAS_DESC	288
en	doujin-circle-printing-guide	200	YES	HAS_DESC	234
en	hotel-amenity-sticker-printing-guide	200	YES	HAS_DESC	194
en	marathon-event-poster-printing-guide	200	YES	HAS_DESC	190
en	finance-summit-gift-bag-printing-guide	200	YES	HAS_DESC	186
en	car-dealership-amenity-sticker-printing-guide	200	YES	HAS_DESC	185
en	hotel-keycard-sleeve-printing-guide	200	YES	HAS_DESC	167
en	ecommerce-shipping-bag-printing-guide	200	YES	HAS_DESC	355
en	baby-product-label-sticker-printing-guide	200	YES	HAS_DESC	386
en	media-merchandise-box-printing-guide	200	YES	HAS_DESC	402
en	magnetic-closure-gift-box-ecommerce-brand-guide	200	YES	HAS_DESC	343
en	folding-box-cosmetics-brand-eco-friendly-guide	200	YES	HAS_DESC	316
en	religious-ceremony-printing-guide	200	YES	HAS_DESC	302
en	thick-paper-flyer-printing-restaurant-takeout-guide	200	YES	HAS_DESC	341
en	construction-material-sample-book-printing-guide	200	NO	HAS_DESC	300
en	baby-food-packaging-box-printing-guide	200	YES	HAS_DESC	211
en	industrial-nameplate-printing-guide	200	YES	HAS_DESC	304
en	auto-parts-shopping-bag-printing-guide	200	YES	HAS_DESC	207
en	medical-device-packaging-box-guide	200	YES	HAS_DESC	235
en	sports-merchandise-gift-box-printing-guide	200	YES	HAS_DESC	223
en	gang-run-card-boxes-hk-guide	200	YES	HAS_DESC	355
en	apparel-shopping-bag-printing-guide	200	YES	HAS_DESC	260
en	custom-card-boxes-small-batch-usa	200	YES	HAS_DESC	345
en	cosmetic-card-boxes-gang-run-japan	200	YES	HAS_DESC	365
en	financial-institution-gift-bag-printing-guide	200	YES	HAS_DESC	378
en	real-estate-floor-plan-poster-printing-guide	200	YES	HAS_DESC	380
en	real-estate-flyer-printing-guide	503	NO	HAS_DESC	228
en	same-day-flyers-printing-hong-kong-guide	200	YES	HAS_DESC	196
en	packaging-box-pricing-2026	200	NO	HAS_DESC	237
en	rush-printing-hk-guide	200	YES	HAS_DESC	196
en	a5-vs-a6-flyer-size	200	YES	HAS_DESC	162
en	poster-size-guide	200	YES	HAS_DESC	233
en	calendar-printing-guide	503	NO	HAS_DESC	157
en	poster-printing-price-guide	503	NO	HAS_DESC	201
en	catalog-printing-china-supplier-guide	200	YES	HAS_DESC	458
en	catalog-printing-guide	503	NO	HAS_DESC	259
en	large-envelope-printing-c4-c5	200	YES	HAS_DESC	311
en	instant-printing-30s-ai-quote-flow	200	YES	HAS_DESC	254
en	2027-monthly-calendar-printing-timetable	503	NO	HAS_DESC	242
en	sticker-material-pvc-vinyl-removable	503	NO	HAS_DESC	372
en	foil-stamping-3-applications-2026	503	NO	HAS_DESC	271
en	campus-education-printing-pillar-guide	200	YES	HAS_DESC	125
en	print-specifications-reference-guide-2026	200	YES	HAS_DESC	259
en	textbook-printing-guide	200	YES	HAS_DESC	197
en	school-exercise-book-printing-guide	200	YES	HAS_DESC	174
en	apparel-clothing-tag-printing-guide	200	YES	HAS_DESC	256
en	kraft-paper-box-types-comparison-2026	503	NO	HAS_DESC	266
en	certificate-printing-guide	200	YES	HAS_DESC	465
en	hong-kong-printing-cost-baseline-2026	503	NO	HAS_DESC	356
en	rush-printing-delivery-guide	200	YES	HAS_DESC	258
en	2027-calendar-printing-complete-guide	503	NO	HAS_DESC	179
en	zine-small-batch-booklet-printing-guide	200	YES	HAS_DESC	155
en	packaging-box-price-2026	503	NO	HAS_DESC	266
en	childrens-picture-book-printing-guide	200	YES	HAS_DESC	159
en	photo-book-printing-guide	200	YES	HAS_DESC	156
ja	packaging-buying-guide	200	YES	HAS_DESC	40
ja	poster-buying-guide	200	YES	HAS_DESC	47
ja	paper-bag-buying-guide	200	YES	HAS_DESC	32
ja	banner-buying-guide	200	YES	HAS_DESC	40
ja	sticker-buying-guide	503	NO	HAS_DESC	59
ja	flyer-buying-guide	503	NO	HAS_DESC	39
ja	book-buying-guide	200	YES	HAS_DESC	29
ja	menu-buying-guide	503	NO	HAS_DESC	48
ja	company-intro	503	NO	HAS_DESC	77
ja	sticker-guide	503	NO	HAS_DESC	34
ja	packaging-trends	200	YES	HAS_DESC	22
ja	sticker-design	200	YES	HAS_DESC	37
ja	paper-materials	200	YES	HAS_DESC	25
ja	eco-printing	200	YES	HAS_DESC	30
ja	hong-kong-printing-guide	200	YES	HAS_DESC	114
ja	design-file-specs	200	YES	HAS_DESC	27
ja	mtr-advertising-specs	200	YES	HAS_DESC	134
ja	brand-materials-checklist	200	YES	HAS_DESC	36
ja	food-packaging-printing-guide	200	YES	HAS_DESC	55
ja	flyer-printing-guide	200	YES	HAS_DESC	126
ja	paper-bag-printing-guide	200	YES	HAS_DESC	85
ja	cmyk-guide	503	NO	HAS_DESC	30
ja	saddle-stitch-booklet-printing-guide	200	YES	HAS_DESC	123
ja	poster-printing-guide	200	YES	HAS_DESC	127
ja	pet-food-sticker-printing-guide	200	YES	HAS_DESC	112
ja	cross-border-ecommerce-shipping-box-guide	200	YES	HAS_DESC	84
ja	restaurant-opening-flyer-printing-guide	200	YES	HAS_DESC	106
ja	cosmetics-packaging-box-printing-guide	200	YES	HAS_DESC	93
ja	packaging-box-custom-guide	200	YES	HAS_DESC	78
ja	wedding-favor-bag-printing-guide	200	YES	HAS_DESC	95
ja	wedding-invitation-pricing-guide	200	NO	MISSING	
ja	wedding-invitation-cost-guide	200	NO	MISSING	
ja	wedding-table-card-printing-guide	200	NO	MISSING	
ja	retail-shop-poster-printing-guide	200	YES	HAS_DESC	122
ja	restaurant-menu-printing-guide	200	YES	HAS_DESC	131
ja	wedding-red-packet-printing-guide	200	YES	HAS_DESC	130
ja	real-estate-brochure-box-printing-guide	200	YES	HAS_DESC	128
ja	pharmaceutical-label-printing-guide	200	YES	HAS_DESC	141
ja	jewellery-shopping-bag-printing-guide	200	YES	HAS_DESC	143
ja	product-label-printing-guide	200	YES	HAS_DESC	165
ja	graduation-yearbook-printing-guide	200	YES	HAS_DESC	152
ja	tea-beverage-gift-box-printing-guide	503	NO	HAS_DESC	73
ja	ip-character-sticker-printing-guide	200	YES	HAS_DESC	161
ja	trade-show-banner-printing-guide	200	YES	HAS_DESC	153
ja	doujin-circle-printing-guide	200	YES	HAS_DESC	117
ja	hotel-amenity-sticker-printing-guide	200	YES	HAS_DESC	85
ja	finance-summit-gift-bag-printing-guide	200	YES	HAS_DESC	100
ja	marathon-event-poster-printing-guide	200	YES	HAS_DESC	117
ja	hotel-keycard-sleeve-printing-guide	200	YES	HAS_DESC	105
ja	baby-product-label-sticker-printing-guide	200	YES	HAS_DESC	155
ja	ecommerce-shipping-bag-printing-guide	200	YES	HAS_DESC	173
ja	media-merchandise-box-printing-guide	200	YES	HAS_DESC	193
ja	wedding-invitation-envelope-printing-guide	503	NO	HAS_DESC	111
ja	car-dealership-amenity-sticker-printing-guide	503	NO	HAS_DESC	94
ja	thick-paper-flyer-printing-restaurant-takeout-guide	200	YES	HAS_DESC	106
ja	religious-ceremony-printing-guide	200	YES	HAS_DESC	154
ja	industrial-nameplate-printing-guide	200	YES	HAS_DESC	156
ja	magnetic-closure-gift-box-ecommerce-brand-guide	503	NO	HAS_DESC	125
ja	folding-box-cosmetics-brand-eco-friendly-guide	503	NO	HAS_DESC	84
ja	construction-material-sample-book-printing-guide	503	NO	HAS_DESC	126
ja	baby-food-packaging-box-printing-guide	503	NO	HAS_DESC	106
ja	real-estate-flyer-printing-guide	503	NO	HAS_DESC	110
ja	medical-device-packaging-box-guide	200	YES	HAS_DESC	107
ja	apparel-shopping-bag-printing-guide	200	YES	HAS_DESC	77
ja	gang-run-card-boxes-hk-guide	200	YES	HAS_DESC	186
ja	custom-card-boxes-small-batch-usa	200	YES	HAS_DESC	197
ja	cosmetic-card-boxes-gang-run-japan	200	YES	HAS_DESC	132
ja	financial-institution-gift-bag-printing-guide	200	YES	HAS_DESC	202
ja	real-estate-floor-plan-poster-printing-guide	200	YES	HAS_DESC	210
ja	same-day-flyers-printing-hong-kong-guide	200	YES	HAS_DESC	155
ja	rush-printing-hk-guide	200	YES	HAS_DESC	119
ja	packaging-box-pricing-2026	200	YES	HAS_DESC	156
ja	calendar-printing-guide	200	YES	HAS_DESC	87
ja	poster-size-guide	200	YES	HAS_DESC	111
ja	auto-parts-shopping-bag-printing-guide	503	NO	HAS_DESC	100
ja	a5-vs-a6-flyer-size	200	YES	HAS_DESC	100
ja	catalog-printing-guide	200	YES	HAS_DESC	102
ja	sports-merchandise-gift-box-printing-guide	503	NO	HAS_DESC	119
ja	catalog-printing-china-supplier-guide	200	YES	HAS_DESC	225
ja	poster-printing-price-guide	503	NO	HAS_DESC	115
ja	2027-monthly-calendar-printing-timetable	503	NO	HAS_DESC	149
ja	large-envelope-printing-c4-c5	503	NO	HAS_DESC	231
ja	sticker-material-pvc-vinyl-removable	503	NO	HAS_DESC	203
ja	instant-printing-30s-ai-quote-flow	503	NO	HAS_DESC	134
ja	foil-stamping-3-applications-2026	503	NO	HAS_DESC	171
ja	kraft-paper-box-types-comparison-2026	200	YES	HAS_DESC	178
ja	print-specifications-reference-guide-2026	200	YES	HAS_DESC	150
ja	textbook-printing-guide	200	YES	HAS_DESC	111
ja	school-exercise-book-printing-guide	200	YES	HAS_DESC	69
ja	apparel-clothing-tag-printing-guide	200	YES	HAS_DESC	163
ja	campus-education-printing-pillar-guide	503	NO	HAS_DESC	68
ja	certificate-printing-guide	200	YES	HAS_DESC	322
ja	rush-printing-delivery-guide	200	YES	HAS_DESC	150
ja	hong-kong-printing-cost-baseline-2026	503	NO	HAS_DESC	168
ja	packaging-box-price-2026	200	YES	HAS_DESC	186
ja	2027-calendar-printing-complete-guide	503	NO	HAS_DESC	154
ja	zine-small-batch-booklet-printing-guide	503	NO	HAS_DESC	101
ja	childrens-picture-book-printing-guide	503	NO	HAS_DESC	105
ja	photo-book-printing-guide	503	NO	HAS_DESC	88
