=== P0 SKUs ===
  L1849: waterproof-stickers (stickers) [OK]
  L2177: transparent-stickers (stickers) [OK]
  L2346: removable-stickers (stickers) [--]
  L2660: small-batch-stickers (stickers) [--]
  L2995: die-cut-stickers (stickers) [OK]
  L3326: foil-stickers (stickers) [--]
  L3646: security-stickers (stickers) [--]
  L3964: fluorescent-stickers (stickers) [--]
  L4270: kraft-paper-bags (paper-bags) [OK]
  L4601: white-card-bags (paper-bags) [--]
  L4758: gift-bags (paper-bags) [--]
  L5104: eco-paper-bags (paper-bags) [--]
  L5430: handle-bags (paper-bags) [--]
  L5751: large-bags (paper-bags) [OK]
  L6054: a4-flyers (flyers) [--]
  L6385: a5-flyers (flyers) [--]
  L6555: double-sided-flyers (flyers) [--]
  L6739: folded-leaflets (flyers) [--]
  L6921: thick-paper-flyers (flyers) [--]
  L7103: eco-flyers (flyers) [--]
  L7288: same-day-flyers (flyers) [--]
  L8734: gift-boxes (packaging) [OK]
  L8938: cosmetic-boxes (packaging) [--]
  L9126: food-boxes (packaging) [--]
  L9457: mailer-boxes (packaging) [--]
  L9658: folding-boxes (packaging) [--]
  L9857: rigid-boxes (packaging) [OK]
  L17507: magnetic-closure-gift-box (packaging) [--]
  L17729: electronics-packaging-box (packaging) [--]
  L17922: kraft-paper-packaging-box (packaging) [--]
  L18113: drawer-slide-gift-box (packaging) [OK]
  L18283: fruit-food-label-stickers (stickers) [OK]
