=== P0 SKUs ===
  L1849: waterproof-stickers (stickers) [OK]
  L2177: transparent-stickers (stickers) [--]
  L2344: removable-stickers (stickers) [--]
  L2658: small-batch-stickers (stickers) [--]
  L2993: die-cut-stickers (stickers) [OK]
  L3324: foil-stickers (stickers) [--]
  L3644: security-stickers (stickers) [--]
  L3962: fluorescent-stickers (stickers) [--]
  L4268: kraft-paper-bags (paper-bags) [--]
  L4597: white-card-bags (paper-bags) [--]
  L4754: gift-bags (paper-bags) [--]
  L5100: eco-paper-bags (paper-bags) [--]
  L5426: handle-bags (paper-bags) [--]
  L5747: large-bags (paper-bags) [OK]
  L6050: a4-flyers (flyers) [--]
  L6381: a5-flyers (flyers) [--]
  L6551: double-sided-flyers (flyers) [--]
  L6735: folded-leaflets (flyers) [--]
  L6917: thick-paper-flyers (flyers) [--]
  L7099: eco-flyers (flyers) [--]
  L7284: same-day-flyers (flyers) [--]
  L8730: gift-boxes (packaging) [OK]
  L8934: cosmetic-boxes (packaging) [--]
  L9122: food-boxes (packaging) [--]
  L9453: mailer-boxes (packaging) [--]
  L9654: folding-boxes (packaging) [--]
  L9853: rigid-boxes (packaging) [--]
  L17501: magnetic-closure-gift-box (packaging) [--]
  L17723: electronics-packaging-box (packaging) [--]
  L17916: kraft-paper-packaging-box (packaging) [--]
  L18107: drawer-slide-gift-box (packaging) [OK]
  L18277: fruit-food-label-stickers (stickers) [OK]
