=== P0 Category SKUs ===
  L1849: waterproof-stickers (stickers) [--] NOT optimized
  L2177: transparent-stickers (stickers) [--] NOT optimized
  L2344: removable-stickers (stickers) [--] NOT optimized
  L2658: small-batch-stickers (stickers) [--] NOT optimized
  L2993: die-cut-stickers (stickers) [--] NOT optimized
  L3324: foil-stickers (stickers) [--] NOT optimized
  L3644: security-stickers (stickers) [--] NOT optimized
  L3962: fluorescent-stickers (stickers) [--] NOT optimized
  L4268: kraft-paper-bags (paper-bags) [--] NOT optimized
  L4597: white-card-bags (paper-bags) [--] NOT optimized
  L4754: gift-bags (paper-bags) [--] NOT optimized
  L5100: eco-paper-bags (paper-bags) [--] NOT optimized
  L5426: handle-bags (paper-bags) [--] NOT optimized
  L5747: large-bags (paper-bags) [--] NOT optimized
  L6050: a4-flyers (flyers) [--] NOT optimized
  L6381: a5-flyers (flyers) [--] NOT optimized
  L6551: double-sided-flyers (flyers) [--] NOT optimized
  L6735: folded-leaflets (flyers) [--] NOT optimized
  L6917: thick-paper-flyers (flyers) [--] NOT optimized
  L7099: eco-flyers (flyers) [--] NOT optimized
  L7284: same-day-flyers (flyers) [--] NOT optimized
  L8730: gift-boxes (packaging) [--] NOT optimized
  L8934: cosmetic-boxes (packaging) [--] NOT optimized
  L9122: food-boxes (packaging) [--] NOT optimized
  L9453: mailer-boxes (packaging) [--] NOT optimized
  L9654: folding-boxes (packaging) [--] NOT optimized
  L9853: rigid-boxes (packaging) [--] NOT optimized
  L17501: magnetic-closure-gift-box (packaging) [--] NOT optimized
  L17723: electronics-packaging-box (packaging) [--] NOT optimized
  L17916: kraft-paper-packaging-box (packaging) [--] NOT optimized
  L18107: drawer-slide-gift-box (packaging) [--] NOT optimized
  L18277: fruit-food-label-stickers (stickers) [--] NOT optimized
