国家/地区,点击次数,展示,点击率(%),排名
hkg,113,4777,2.37,25.53
jpn,13,990,1.31,37.38
usa,9,1347,0.67,38.02
aus,3,67,4.48,8.51
chn,3,69,4.35,15.10
nzl,3,11,27.27,14.55
can,2,97,2.06,45.72
fra,2,34,5.88,20.68
gbr,1,189,0.53,21.50
kor,1,17,5.88,12.35
mex,1,33,3.03,29.82
prt,1,13,7.69,34.15
twn,1,120,0.83,20.77
ago,0,1,0.00,10.00
alb,0,2,0.00,43.00
and,0,2,0.00,66.00
are,0,28,0.00,30.29
arg,0,9,0.00,15.11
aut,0,2,0.00,5.50
bel,0,6,0.00,42.00
bgd,0,26,0.00,31.69
bgr,0,4,0.00,4.25
bhs,0,1,0.00,2.00
bih,0,1,0.00,8.00
bra,0,57,0.00,28.95
brn,0,1,0.00,42.00
bwa,0,1,0.00,9.00
che,0,19,0.00,14.84
chl,0,3,0.00,5.00
civ,0,1,0.00,5.00
col,0,3,0.00,11.67
cri,0,5,0.00,6.80
cyp,0,2,0.00,4.00
cze,0,5,0.00,20.00
deu,0,35,0.00,19.11
dji,0,1,0.00,2.00
dnk,0,8,0.00,37.62
dom,0,2,0.00,5.50
dza,0,19,0.00,35.47
ecu,0,2,0.00,6.00
egy,0,12,0.00,28.67
esp,0,20,0.00,26.20
est,0,2,0.00,55.00
eth,0,4,0.00,5.00
fin,0,7,0.00,21.00
geo,0,2,0.00,2.50
gha,0,8,0.00,6.88
grc,0,2,0.00,1.00
gum,0,1,0.00,7.00
hnd,0,2,0.00,17.50
hrv,0,2,0.00,3.50
hun,0,2,0.00,3.50
idn,0,33,0.00,20.36
ind,0,77,0.00,19.81
irl,0,7,0.00,31.14
irn,0,4,0.00,9.50
irq,0,21,0.00,35.86
isr,0,13,0.00,39.08
ita,0,22,0.00,52.09
jor,0,26,0.00,36.50
ken,0,10,0.00,15.00
kgz,0,1,0.00,15.00
khm,0,4,0.00,34.00
kwt,0,1,0.00,11.00
lao,0,1,0.00,10.00
lbn,0,1,0.00,4.00
lby,0,1,0.00,5.00
lka,0,1,0.00,1.00
lux,0,1,0.00,33.00
lva,0,3,0.00,74.33
mac,0,23,0.00,8.17
mar,0,19,0.00,32.21
mdg,0,2,0.00,1.00
mkd,0,1,0.00,7.00
mlt,0,2,0.00,7.00
mmr,0,1,0.00,4.00
mng,0,2,0.00,77.00
mus,0,1,0.00,53.00
mys,0,75,0.00,25.63
nga,0,19,0.00,11.68
nld,0,66,0.00,56.11
nor,0,8,0.00,31.50
npl,0,3,0.00,44.00
omn,0,1,0.00,1.00
pak,0,40,0.00,29.88
per,0,2,0.00,25.00
phl,0,74,0.00,24.69
png,0,1,0.00,6.00
pol,0,8,0.00,40.00
pri,0,4,0.00,7.25
pry,0,1,0.00,42.00
pse,0,1,0.00,11.00
qat,0,2,0.00,2.50
rou,0,5,0.00,32.40
rus,0,57,0.00,32.09
sau,0,112,0.00,49.20
sgp,0,42,0.00,8.00
som,0,1,0.00,6.00
svk,0,4,0.00,47.00
svn,0,3,0.00,8.33
