国家/地区,点击次数,展示,点击率,排名
中国香港,34,1355,2.51%,22.75
日本,7,333,2.1%,29.6
美国,3,479,0.63%,39.4
澳大利亚,1,25,4%,6.76
墨西哥,1,13,7.69%,36.62
中国,1,10,10%,9.8
韩国,1,6,16.67%,12.83
英国,0,64,0%,23.84
沙特阿拉伯,0,37,0%,47.43
菲律宾,0,36,0%,22.78
台湾,0,34,0%,15.62
乌克兰,0,33,0%,32.39
马来西亚,0,31,0%,21.13
加拿大,0,29,0%,52.93
印度,0,25,0%,16.16
泰国,0,25,0%,29.4
俄罗斯,0,24,0%,28.5
越南,0,24,0%,30.46
土耳其,0,19,0%,30.47
荷兰,0,19,0%,63.95
法国,0,15,0%,26.93
新加坡,0,14,0%,5.79
意大利,0,14,0%,64.29
约旦,0,12,0%,37.25
印度尼西亚,0,11,0%,19.36
伊拉克,0,10,0%,37.7
德国,0,9,0%,11.89
巴西,0,9,0%,14.56
阿尔及利亚,0,6,0%,30.67
以色列,0,6,0%,36.17
肯尼亚,0,5,0%,6.4
尼日利亚,0,5,0%,13.6
葡萄牙,0,5,0%,22
西班牙,0,5,0%,35.8
孟加拉,0,5,0%,37.2
巴基斯坦,0,5,0%,54.2
瑞士,0,4,0%,5.75
阿拉伯联合酋长国,0,4,0%,6.25
加纳,0,4,0%,6.5
丹麦,0,4,0%,48.25
埃塞俄比亚,0,3,0%,4.67
波多黎各,0,3,0%,6
澳门,0,3,0%,9.67
阿根廷,0,3,0%,13.33
波兰,0,3,0%,16.67
摩洛哥,0,3,0%,31
拉脱维亚,0,3,0%,74.33
智利,0,2,0%,1.5
芬兰,0,2,0%,2.5
保加利亚,0,2,0%,3
捷克,0,2,0%,4
南非,0,2,0%,51.5
安道尔,0,2,0%,66
爱尔兰,0,2,0%,69
斯洛伐克,0,2,0%,71.5
厄瓜多尔,0,1,0%,1
希腊,0,1,0%,1
马达加斯加,0,1,0%,1
阿曼,0,1,0%,1
塞舌尔,0,1,0%,1
突尼斯,0,1,0%,1
吉布提,0,1,0%,2
柬埔寨,0,1,0%,5
利比亚,0,1,0%,5
索马里,0,1,0%,6
津巴布韦,0,1,0%,6
关岛,0,1,0%,7
科索沃,0,1,0%,7
马耳他,0,1,0%,8
新西兰,0,1,0%,8
安哥拉,0,1,0%,10
奥地利,0,1,0%,10
哥斯达黎加,0,1,0%,11
比利时,0,1,0%,27
卢森堡,0,1,0%,33
秘鲁,0,1,0%,39
瑞典,0,1,0%,76
蒙古,0,1,0%,82
爱沙尼亚,0,1,0%,100
