国家/地区,点击次数,展示,点击率,排名
中国香港,582,21367,2.72%,28.51
台湾,13,793,1.64%,7.94
中国,6,393,1.53%,8.64
美国,5,3031,0.16%,6.17
英国,5,133,3.76%,5.99
澳大利亚,5,75,6.67%,6.91
新加坡,4,190,2.11%,5.56
日本,3,149,2.01%,6.45
加拿大,2,141,1.42%,6.67
澳门,2,50,4%,5.64
德国,1,70,1.43%,6.31
荷兰,1,61,1.64%,5.9
韩国,1,41,2.44%,6.9
法国,1,28,3.57%,6.39
瑞士,1,6,16.67%,2.83
奥地利,1,5,20%,8.8
巴西,0,79,0%,5.92
越南,0,63,0%,7.51
印度,0,47,0%,7.81
马来西亚,0,46,0%,4.7
西班牙,0,38,0%,7
印度尼西亚,0,34,0%,4.91
墨西哥,0,29,0%,6.07
阿根廷,0,29,0%,7.79
泰国,0,26,0%,7.65
菲律宾,0,26,0%,8.12
孟加拉,0,22,0%,8.36
意大利,0,22,0%,10.55
厄瓜多尔,0,20,0%,6.5
俄罗斯,0,20,0%,8.6
土耳其,0,18,0%,7.5
哥伦比亚,0,15,0%,6
委内瑞拉,0,12,0%,5.42
乌克兰,0,11,0%,5.18
伊拉克,0,11,0%,7.91
葡萄牙,0,10,0%,7.2
波兰,0,10,0%,8
智利,0,9,0%,6.78
摩洛哥,0,9,0%,7.33
沙特阿拉伯,0,9,0%,7.78
阿拉伯联合酋长国,0,9,0%,8.56
丹麦,0,8,0%,7
芬兰,0,6,0%,5.33
立陶宛,0,6,0%,5.5
阿尔及利亚,0,6,0%,5.67
南非,0,6,0%,6.83
突尼斯,0,6,0%,7.5
伊朗,0,6,0%,8.17
斯洛伐克,0,6,0%,8.17
特立尼达和多巴哥,0,5,0%,4.4
美属萨摩亚,0,5,0%,5.4
柬埔寨,0,5,0%,5.8
肯尼亚,0,5,0%,6.8
秘鲁,0,5,0%,7.2
比利时,0,5,0%,8
巴基斯坦,0,5,0%,8.6
哥斯达黎加,0,5,0%,25.4
挪威,0,4,0%,3.5
保加利亚,0,4,0%,4
新西兰,0,4,0%,5
捷克,0,4,0%,5.25
巴拉圭,0,4,0%,5.5
哈萨克斯坦,0,4,0%,6.25
巴拿马,0,4,0%,7.75
危地马拉,0,4,0%,12
玻利维亚,0,4,0%,14
埃及,0,3,0%,2.33
匈牙利,0,3,0%,3
古巴,0,3,0%,5.33
乌拉圭,0,3,0%,5.33
爱尔兰,0,3,0%,6
埃塞俄比亚,0,3,0%,6.33
尼日利亚,0,3,0%,7.33
白俄罗斯,0,3,0%,18.33
科威特,0,2,0%,2
阿尔巴尼亚,0,2,0%,3
黎巴嫩,0,2,0%,3.5
巴勒斯坦,0,2,0%,4
多米尼加共和国,0,2,0%,4.5
塞尔维亚,0,2,0%,4.5
克罗地亚,0,2,0%,5
利比亚,0,2,0%,5
斯里兰卡,0,2,0%,7
尼泊尔,0,2,0%,7.5
塞内加尔,0,2,0%,7.5
约旦,0,2,0%,8
乌兹别克斯坦,0,2,0%,8
希腊,0,2,0%,8.5
卡塔尔,0,2,0%,10
洪都拉斯,0,1,0%,1
缅甸,0,1,0%,1
马拉维,0,1,0%,1
罗马尼亚,0,1,0%,2
赞比亚,0,1,0%,2
未知地区,0,1,0%,3
格鲁吉亚,0,1,0%,4
文莱,0,1,0%,5
加蓬,0,1,0%,5
波多黎各,0,1,0%,5
牙买加,0,1,0%,6
科特迪瓦,0,1,0%,8
巴哈马,0,1,0%,9
刚果 - 金沙萨,0,1,0%,9
纳米比亚,0,1,0%,9
科索沃,0,1,0%,9
以色列,0,1,0%,10
黑山,0,1,0%,10
法属波利尼西亚,0,1,0%,14
