日期,点击次数,展示,点击率,排名
2026-05-07,0,0,,
2026-05-08,0,0,,
2026-05-09,0,14,0%,25.6
2026-05-10,0,49,0%,31
2026-05-11,1,85,1.18%,35
2026-05-12,1,86,1.16%,34.1
2026-05-13,0,116,0%,36.1
2026-05-14,0,147,0%,39.4
2026-05-15,1,154,0.65%,43.5
2026-05-16,1,118,0.85%,38.9
2026-05-17,0,177,0%,39.4
2026-05-18,2,185,1.08%,39.9
2026-05-19,1,185,0.54%,35.2
2026-05-20,0,171,0%,33.8
2026-05-21,5,114,4.39%,27.2
2026-05-22,0,195,0%,35.7
2026-05-23,1,171,0.58%,33.3
2026-05-24,2,147,1.36%,36.9
2026-05-25,4,216,1.85%,30.9
2026-05-26,8,224,3.57%,28.4
2026-05-27,2,169,1.18%,28.1
2026-05-28,2,199,1.01%,27.8
2026-05-29,0,296,0%,31.4
2026-05-30,0,154,0%,27.6
2026-05-31,1,197,0.51%,29.2
2026-06-01,2,266,0.75%,27.2
2026-06-02,2,196,1.02%,26.7
2026-06-03,5,201,2.49%,22
2026-06-04,1,248,0.4%,30.6
2026-06-05,2,231,0.87%,33.1
2026-06-06,1,139,0.72%,27.6
2026-06-07,4,186,2.15%,26.7
2026-06-08,6,211,2.84%,25.1
2026-06-09,3,191,1.57%,22.6
2026-06-10,3,219,1.37%,19.9
2026-06-11,3,241,1.24%,23.2
2026-06-12,4,361,1.11%,34.7
2026-06-13,1,214,0.47%,30.4
2026-06-14,3,231,1.3%,28.6
2026-06-15,3,311,0.96%,27.9
2026-06-16,3,262,1.15%,20
2026-06-17,5,289,1.73%,26.2
2026-06-18,3,310,0.97%,31.9
2026-06-19,1,229,0.44%,31.5
2026-06-20,1,196,0.51%,27.1
2026-06-21,2,225,0.89%,24.9
2026-06-22,1,310,0.32%,27
2026-06-23,4,240,1.67%,27.9
2026-06-24,1,207,0.48%,27.1
2026-06-25,2,233,0.86%,26.6
2026-06-26,0,312,0%,34.5
2026-06-27,1,254,0.39%,36.6
2026-06-28,2,299,0.67%,35.4
2026-06-29,3,252,1.19%,31.3
2026-06-30,2,225,0.89%,32.3
2026-07-01,3,202,1.49%,31.6
2026-07-02,3,215,1.4%,27.9
2026-07-03,0,204,0%,34.4
2026-07-04,1,159,0.63%,33.3
2026-07-05,0,172,0%,30.8
2026-07-06,5,252,1.98%,27
