国家/地区,点击次数,展示,点击率,排名
中国香港,101,4711,2.14%,27.15
日本,10,843,1.19%,39.96
美国,8,1136,0.7%,35.94
澳大利亚,3,51,5.88%,9.24
新西兰,3,10,30%,15.2
台湾,2,122,1.64%,17.66
加拿大,2,83,2.41%,44.01
中国,2,76,2.63%,19.09
法国,2,23,8.7%,16.43
英国,1,149,0.67%,21.08
葡萄牙,1,10,10%,34.5
越南,0,198,0%,31.26
沙特阿拉伯,0,81,0%,49.12
泰国,0,65,0%,27.94
印度,0,59,0%,21.1
荷兰,0,59,0%,50.31
菲律宾,0,56,0%,25.23
巴西,0,54,0%,29.24
马来西亚,0,52,0%,28.42
乌克兰,0,45,0%,31.33
新加坡,0,41,0%,7.59
巴基斯坦,0,41,0%,25.78
俄罗斯,0,39,0%,32.46
阿拉伯联合酋长国,0,32,0%,42.16
印度尼西亚,0,30,0%,19.6
德国,0,30,0%,22.27
孟加拉,0,30,0%,32.47
土耳其,0,28,0%,36.14
墨西哥,0,24,0%,26.25
澳门,0,23,0%,7.83
埃及,0,19,0%,25.47
意大利,0,19,0%,43.79
瑞士,0,18,0%,15.56
摩洛哥,0,18,0%,32.44
阿尔及利亚,0,18,0%,34.83
西班牙,0,17,0%,24.06
约旦,0,17,0%,36.47
尼日利亚,0,15,0%,10.33
伊拉克,0,15,0%,33.6
南非,0,14,0%,14.93
以色列,0,13,0%,47.92
韩国,0,11,0%,12.09
挪威,0,10,0%,26
波兰,0,8,0%,46.75
阿根廷,0,7,0%,14.86
芬兰,0,7,0%,20.86
比利时,0,7,0%,36.14
肯尼亚,0,6,0%,21.67
加纳,0,5,0%,6.6
爱尔兰,0,5,0%,16
丹麦,0,5,0%,23
罗马尼亚,0,5,0%,32.4
哥斯达黎加,0,4,0%,5.75
伊朗,0,4,0%,9.5
瑞典,0,4,0%,10
哥伦比亚,0,4,0%,10.25
突尼斯,0,4,0%,12.75
智利,0,3,0%,5
匈牙利,0,3,0%,5.33
斯洛文尼亚,0,3,0%,8.33
秘鲁,0,3,0%,10.33
捷克,0,3,0%,30.67
柬埔寨,0,3,0%,43.67
尼泊尔,0,3,0%,44
蒙古,0,3,0%,56.33
格鲁吉亚,0,2,0%,2.5
卡塔尔,0,2,0%,2.5
克罗地亚,0,2,0%,3.5
塞浦路斯,0,2,0%,4
津巴布韦,0,2,0%,4
保加利亚,0,2,0%,5.5
多米尼加共和国,0,2,0%,5.5
洪都拉斯,0,2,0%,17.5
文莱,0,2,0%,22.5
斯洛伐克,0,2,0%,22.5
叙利亚,0,2,0%,24
阿尔巴尼亚,0,2,0%,43
爱沙尼亚,0,2,0%,55
白俄罗斯,0,2,0%,63
安道尔,0,2,0%,66
奥地利,0,1,0%,1
希腊,0,1,0%,1
斯里兰卡,0,1,0%,1
马达加斯加,0,1,0%,1
阿曼,0,1,0%,1
乌拉圭,0,1,0%,1
巴哈马,0,1,0%,2
黎巴嫩,0,1,0%,4
缅甸,0,1,0%,4
科特迪瓦,0,1,0%,5
埃塞俄比亚,0,1,0%,6
马耳他,0,1,0%,6
巴布亚新几内亚,0,1,0%,6
乌干达,0,1,0%,6
马其顿,0,1,0%,7
波斯尼亚和黑塞哥维那,0,1,0%,8
博茨瓦纳,0,1,0%,9
多哥,0,1,0%,9
老挝,0,1,0%,10
厄瓜多尔,0,1,0%,11
科威特,0,1,0%,11
波多黎各,0,1,0%,11
巴勒斯坦,0,1,0%,11
索马里,0,1,0%,11
吉尔吉斯斯坦,0,1,0%,15
坦桑尼亚,0,1,0%,16
塔吉克斯坦,0,1,0%,21
卢森堡,0,1,0%,33
巴拉圭,0,1,0%,42
毛里求斯,0,1,0%,53
