日期,点击次数,展示,点击率,排名
2026-05-07,0,0,,
2026-05-08,0,0,,
2026-05-09,0,0,,
2026-05-10,0,6,0%,10.7
2026-05-11,0,12,0%,19.6
2026-05-12,0,10,0%,13.8
2026-05-13,0,8,0%,5.8
2026-05-14,0,18,0%,12.5
2026-05-15,0,8,0%,53.8
2026-05-16,0,11,0%,8.7
2026-05-17,0,19,0%,16.1
2026-05-18,0,11,0%,22.3
2026-05-19,0,10,0%,10.6
2026-05-20,0,10,0%,8.8
2026-05-21,0,18,0%,32.4
2026-05-22,0,19,0%,12.8
2026-05-23,0,16,0%,24.4
2026-05-24,0,23,0%,28.6
2026-05-25,0,33,0%,24.4
2026-05-26,0,31,0%,25.5
2026-05-27,0,19,0%,25.5
2026-05-28,0,19,0%,22.1
2026-05-29,0,46,0%,16
2026-05-30,0,22,0%,7.2
2026-05-31,0,26,0%,20.2
2026-06-01,1,42,2.38%,10.4
2026-06-02,0,23,0%,42.6
2026-06-03,0,25,0%,12.2
2026-06-04,0,8,0%,9
2026-06-05,0,19,0%,8
2026-06-06,0,15,0%,7.1
2026-06-07,0,7,0%,9
2026-06-08,0,21,0%,10
2026-06-09,1,20,5%,15.3
2026-06-10,0,39,0%,12.5
2026-06-11,0,30,0%,11.5
2026-06-12,0,27,0%,10.7
2026-06-13,0,21,0%,12.6
2026-06-14,0,23,0%,11.1
2026-06-15,0,31,0%,9.6
2026-06-16,0,34,0%,10.4
2026-06-17,0,29,0%,20.8
2026-06-18,0,17,0%,23.5
2026-06-19,0,31,0%,10.1
2026-06-20,0,20,0%,5.8
2026-06-21,0,28,0%,9.4
2026-06-22,0,46,0%,14.6
2026-06-23,0,32,0%,24.5
2026-06-24,0,29,0%,26.1
2026-06-25,0,13,0%,11.1
2026-06-26,0,29,0%,31.1
2026-06-27,0,33,0%,26.7
2026-06-28,0,37,0%,35.3
2026-06-29,0,40,0%,33.5
2026-06-30,1,34,2.94%,25.9
2026-07-01,1,22,4.55%,26.8
2026-07-02,0,21,0%,26.2
2026-07-03,0,16,0%,17.8
2026-07-04,0,22,0%,15.7
2026-07-05,0,17,0%,25.2
2026-07-06,1,41,2.44%,21.6
2026-07-07,0,16,0%,38.4
2026-07-08,0,39,0%,22.4
2026-07-09,0,21,0%,14
2026-07-10,0,16,0%,30.6
2026-07-11,0,16,0%,19.3
2026-07-12,0,47,0%,20.5
2026-07-13,0,24,0%,20.3
2026-07-14,0,32,0%,17.9
2026-07-15,1,42,2.38%,28.5
2026-07-16,0,24,0%,33.1
2026-07-17,0,25,0%,20.8
2026-07-18,1,21,4.76%,15
2026-07-19,1,26,3.85%,26.6
2026-07-20,0,21,0%,15.4
2026-07-21,1,64,1.56%,24.8
2026-07-22,1,36,2.78%,31.5
2026-07-23,1,36,2.78%,34.7
2026-07-24,0,34,0%,48.3
2026-07-25,0,45,0%,30.3
2026-07-26,0,40,0%,49.4
2026-07-27,0,65,0%,29.6
2026-07-28,0,62,0%,40.4
2026-07-29,0,70,0%,82.9
2026-07-30,0,92,0%,49.8
2026-07-31,0,62,0%,43.8
2026-08-01,0,74,0%,44.7
2026-08-02,1,45,2.22%,38.1
2026-08-03,2,88,2.27%,43.8
2026-08-04,0,57,0%,40.2
2026-08-05,0,64,0%,38.9
