国家/地区,点击次数,展示,点击率,排名
中国香港,58,1816,3.19%,19.71
日本,6,431,1.39%,26.84
美国,4,657,0.61%,33.47
中国,3,20,15%,11.1
菲律宾,1,49,2.04%,44.35
马来西亚,1,46,2.17%,34.87
法国,1,17,5.88%,36.12
意大利,1,3,33.33%,5
英国,0,112,0%,31.35
加拿大,0,72,0%,55.47
台湾,0,68,0%,19.5
印度,0,61,0%,43.48
新加坡,0,40,0%,31.68
土耳其,0,39,0%,60.62
澳大利亚,0,38,0%,42.95
爱尔兰,0,31,0%,59.03
泰国,0,30,0%,29.6
越南,0,28,0%,38.93
沙特阿拉伯,0,27,0%,43
印度尼西亚,0,27,0%,47.3
德国,0,24,0%,20.21
新西兰,0,20,0%,51.3
巴西,0,19,0%,31.68
南非,0,19,0%,47.53
阿拉伯联合酋长国,0,19,0%,63.84
巴基斯坦,0,18,0%,41.17
荷兰,0,15,0%,29.73
孟加拉,0,15,0%,44
尼日利亚,0,12,0%,10.25
澳门,0,11,0%,6.36
瑞典,0,11,0%,17.27
西班牙,0,11,0%,29.91
墨西哥,0,8,0%,34.75
乌克兰,0,6,0%,34.33
俄罗斯,0,6,0%,42.83
以色列,0,6,0%,43.83
摩洛哥,0,6,0%,47.33
阿尔及利亚,0,5,0%,56.6
约旦,0,5,0%,72
斯里兰卡,0,4,0%,8.25
韩国,0,4,0%,9.25
埃及,0,4,0%,21
柬埔寨,0,4,0%,49.25
瑞士,0,3,0%,5.33
加纳,0,3,0%,8.67
挪威,0,3,0%,21
特立尼达和多巴哥,0,2,0%,1
马尔代夫,0,2,0%,1.5
奥地利,0,2,0%,5.5
阿根廷,0,2,0%,6
哈萨克斯坦,0,2,0%,6
埃塞俄比亚,0,2,0%,7
津巴布韦,0,2,0%,7.5
智利,0,2,0%,8
缅甸,0,2,0%,16
捷克,0,2,0%,22
巴林,0,2,0%,34.5
波兰,0,2,0%,34.5
保加利亚,0,1,0%,1
伊拉克,0,1,0%,1
卡塔尔,0,1,0%,1
马拉维,0,1,0%,2
乌兹别克斯坦,0,1,0%,4
格鲁吉亚,0,1,0%,6
博茨瓦纳,0,1,0%,7
科特迪瓦,0,1,0%,7
莫桑比克,0,1,0%,7
罗马尼亚,0,1,0%,7
伯利兹,0,1,0%,8
关岛,0,1,0%,8
玻利维亚,0,1,0%,9
芬兰,0,1,0%,10
希腊,0,1,0%,10
吉尔吉斯斯坦,0,1,0%,10
老挝,0,1,0%,10
圣卢西亚,0,1,0%,10
卢森堡,0,1,0%,10
尼泊尔,0,1,0%,10
英属维尔京群岛,0,1,0%,11
毛里求斯,0,1,0%,13
哥伦比亚,0,1,0%,18
直布罗陀,0,1,0%,41
叙利亚,0,1,0%,72
