国家/地区,点击次数,展示,点击率,排名
中国香港,38,1514,2.51%,21.59
日本,7,385,1.82%,28.79
马来西亚,1,36,2.78%,20.83
中国,1,14,7.14%,9.79
墨西哥,1,14,7.14%,28.07
意大利,1,4,25%,43
美国,0,544,0%,36.49
英国,0,83,0%,25.49
沙特阿拉伯,0,49,0%,47.96
台湾,0,48,0%,17.81
印度,0,37,0%,17.11
加拿大,0,36,0%,48.94
澳大利亚,0,35,0%,28.86
菲律宾,0,34,0%,23.76
泰国,0,30,0%,27.4
越南,0,26,0%,27
新加坡,0,22,0%,10.73
乌克兰,0,22,0%,31.68
荷兰,0,22,0%,48.86
爱尔兰,0,22,0%,66.14
土耳其,0,18,0%,31.33
俄罗斯,0,14,0%,29.64
法国,0,13,0%,22.38
印度尼西亚,0,13,0%,24.62
巴西,0,12,0%,25.5
德国,0,11,0%,9.73
尼日利亚,0,9,0%,16.11
巴基斯坦,0,9,0%,16.22
西班牙,0,7,0%,27.57
阿拉伯联合酋长国,0,6,0%,6.5
孟加拉,0,6,0%,18.17
南非,0,6,0%,59.5
约旦,0,5,0%,40
阿根廷,0,4,0%,6.75
加纳,0,4,0%,8
澳门,0,4,0%,8.5
韩国,0,4,0%,10
瑞典,0,4,0%,24
以色列,0,4,0%,32
丹麦,0,4,0%,48.25
瑞士,0,3,0%,4
肯尼亚,0,3,0%,6
波多黎各,0,3,0%,6
斯里兰卡,0,3,0%,7
摩洛哥,0,3,0%,18.67
挪威,0,3,0%,21
埃及,0,3,0%,25.67
柬埔寨,0,3,0%,33.67
保加利亚,0,2,0%,3
捷克,0,2,0%,5
芬兰,0,2,0%,5.5
希腊,0,2,0%,5.5
埃塞俄比亚,0,2,0%,6
津巴布韦,0,2,0%,7
关岛,0,2,0%,7.5
新西兰,0,2,0%,9
巴林,0,2,0%,34.5
葡萄牙,0,2,0%,44.5
伊拉克,0,2,0%,47
斯洛伐克,0,2,0%,71.5
厄瓜多尔,0,1,0%,1
马达加斯加,0,1,0%,1
塞舌尔,0,1,0%,1
吉布提,0,1,0%,2
马尔代夫,0,1,0%,2
马拉维,0,1,0%,2
利比亚,0,1,0%,5
格鲁吉亚,0,1,0%,6
哈萨克斯坦,0,1,0%,6
索马里,0,1,0%,6
科索沃,0,1,0%,7
伯利兹,0,1,0%,8
玻利维亚,0,1,0%,9
安哥拉,0,1,0%,10
奥地利,0,1,0%,10
英属维尔京群岛,0,1,0%,11
毛里求斯,0,1,0%,13
阿尔及利亚,0,1,0%,35
直布罗陀,0,1,0%,41
波兰,0,1,0%,60
拉脱维亚,0,1,0%,86
