old_url,new_url,clicks_91d,imps_91d,rule,confidence,note
https://www.z-printpro.com/products/poster-printing/24hour-poster-printing-a1-a2-mongkok-causewaybay-hk.html,https://zprintpro.com/zh-hk/services/rush-printing-delivery/,102,2505,hand-map,high,急件页→急送服务页
https://www.z-printpro.com/products/digital-printing/document-printing-2hour-pickup-mongkok-causewaybay-hk.html,https://zprintpro.com/zh-hk/services/rush-printing-delivery/,61,1115,hand-map,high,急件页→急送服务页
https://www.z-printpro.com/,https://zprintpro.com/zh-hk/,53,179,special,high,首页
https://www.z-printpro.com/products/digital-printing/student-printing-thesis-homework-24hour-binding-hk.html,https://zprintpro.com/zh-hk/category/educational/,31,199,hand-map,high,论文→教育类目(校园车道)
https://www.z-printpro.com/products/digital-printing/certificate-printing-diploma-award-foil-security-paper-hk.html,https://zprintpro.com/zh-hk/product/certificates/,18,264,hand-map,high,证书→证书SKU
https://www.z-printpro.com/products/packaging-box-printing/,https://zprintpro.com/zh-hk/category/packaging/,10,2851,category,high,类目页→对应类目
https://www.z-printpro.com/products/poster-printing/,https://zprintpro.com/zh-hk/category/posters/,10,958,category,high,类目页→对应类目
https://www.z-printpro.com/products/business-card-printing/,,9,612,bc-decision,DECIDE,"⚠️名片禁区: 301→flyers 或 410, 待 user 拍板"
https://www.z-printpro.com/products/label-sticker-printing/qr-code-sticker-tracking.html,https://zprintpro.com/zh-hk/category/stickers/,9,135,cat-fallback,med,→label-sticker-printing类目
https://www.z-printpro.com/products/red-packet-wedding-invitation-printing/wedding-invitation-printing-foil-ribbon-envelope.html,https://zprintpro.com/zh-hk/category/red-packets/,8,362,hand-map,med,喜帖→利是封类目
https://www.z-printpro.com/products/poster-printing/same-day-poster-printing-a1-a2-a3-photo-vinyl-hk.html,https://zprintpro.com/zh-hk/services/rush-printing-delivery/,8,318,hand-map,high,即日海报→急送服务页
https://www.z-printpro.com/products/business-card-printing/gold-foil-name-card-printing.html,,8,287,bc-decision,DECIDE,"⚠️名片禁区: 301→flyers 或 410, 待 user 拍板"
https://www.z-printpro.com/products/business-card-printing/express-name-card-printing.html,,7,393,bc-decision,DECIDE,"⚠️名片禁区: 301→flyers 或 410, 待 user 拍板"
https://www.z-printpro.com/products/digital-printing/,https://zprintpro.com/zh-hk/category/educational/,7,340,category,high,类目页→对应类目
https://www.z-printpro.com/products/packaging-box-printing/eco-packaging-box-printing-fsc-compostable-100pcs-hk.html,https://zprintpro.com/zh-hk/category/packaging/,7,97,cat-fallback,med,→packaging-box-printing类目
https://www.z-printpro.com/products/paper-bag-printing/,https://zprintpro.com/zh-hk/category/paper-bags/,6,6231,category,high,类目页→对应类目
https://www.z-printpro.com/products/enterprise-brochure-printing/a5-saddle-stitched-booklet-printing.html,https://zprintpro.com/zh-hk/product/saddle-stitch-booklets/,6,599,hand-map,high,骑马钉→对应SKU
https://www.z-printpro.com/products/label-sticker-printing/,https://zprintpro.com/zh-hk/category/stickers/,6,542,category,high,类目页→对应类目
https://www.z-printpro.com/products/label-sticker-printing/waterproof-round-sticker-printing-outdoor-vehicle.html,https://zprintpro.com/zh-hk/product/waterproof-stickers/,6,372,hand-map,high,防水贴纸→对应SKU
https://www.z-printpro.com/products/red-packet-wedding-invitation-printing/personal-red-envelope-printing-mongkok-2hour.html,https://zprintpro.com/zh-hk/category/red-packets/,6,179,hand-map,med,利是封→类目
https://www.z-printpro.com/contact-us.html,https://zprintpro.com/zh-hk/contact/,6,148,special,high,联系页
https://www.z-printpro.com/products/large-format-printing/same-day-banner-printing-6x3ft-waterproof-hk.html,https://zprintpro.com/zh-hk/category/banners/,6,129,hand-map,med,banner→横幅类目
https://www.z-printpro.com/products/enterprise-brochure-printing/specialty-paper-brochure-linen-pearl-cover.html,https://zprintpro.com/zh-hk/category/books/,6,89,cat-fallback,med,→enterprise-brochure-printing类目
https://www.z-printpro.com/products/flyer-printing/,https://zprintpro.com/zh-hk/category/flyers/,5,940,category,high,类目页→对应类目
https://www.z-printpro.com/products/large-format-printing/,https://zprintpro.com/zh-hk/category/banners/,5,287,category,high,类目页→对应类目
https://www.z-printpro.com/products/calendar-printing/,https://zprintpro.com/zh-hk/category/calendars/,5,245,category,high,类目页→对应类目
https://www.z-printpro.com/products/flyer-printing/flyer-printing-a5-double-sided-100pcs.html,https://zprintpro.com/zh-hk/product/a5-flyers/,5,185,hand-map,high,A5单张→对应SKU(宣传单张车道)
https://www.z-printpro.com/products/envelope-printing/,https://zprintpro.com/zh-hk/category/envelopes/,5,77,category,high,类目页→对应类目
https://www.z-printpro.com/products/paper-bag-printing/market-tote-bag-rush-printing-2hour-mongkok-hk.html,https://zprintpro.com/zh-hk/category/paper-bags/,5,71,cat-fallback,med,→paper-bag-printing类目
https://www.z-printpro.com/products/enterprise-brochure-printing/eco-friendly-brochure-fsc-soy-ink.html,https://zprintpro.com/zh-hk/category/books/,5,67,cat-fallback,med,→enterprise-brochure-printing类目
https://www.z-printpro.com/products/red-packet-wedding-invitation-printing/premium-wedding-invitation-printing-300g-specialty-foil-uv.html,https://zprintpro.com/zh-hk/category/red-packets/,5,58,cat-fallback,med,→red-packet-wedding-invitation-printing类目
https://www.z-printpro.com/products/poster-printing/photo-poster-printing-a1-a0-high-res-vinyl-glossy-hk.html,https://zprintpro.com/zh-hk/category/posters/,4,345,cat-fallback,med,→poster-printing类目
https://www.z-printpro.com/products/flyer-printing/a4-tri-fold-brochure-printing-100pcs.html,https://zprintpro.com/zh-hk/category/flyers/,4,171,cat-fallback,med,→flyer-printing类目
https://www.z-printpro.com/products/digital-printing/event-printing-kit-roll-up-flyer-name-badge-199-hk.html,https://zprintpro.com/zh-hk/category/educational/,4,135,cat-fallback,med,→digital-printing类目
https://www.z-printpro.com/products/poster-printing/student-poster-printing-homework-presentation-2hour-hk.html,https://zprintpro.com/zh-hk/category/educational/,4,128,hand-map,med,学生海报→教育类目
https://www.z-printpro.com/products/enterprise-brochure-printing/,https://zprintpro.com/zh-hk/category/books/,4,126,category,high,类目页→对应类目
https://www.z-printpro.com/products/business-card-printing/name-card-price-hk-affordable.html,,4,103,bc-decision,DECIDE,"⚠️名片禁区: 301→flyers 或 410, 待 user 拍板"
https://www.z-printpro.com/products/envelope-printing/custom-envelope-printing-c6-50pcs-mongkok-hk.html,https://zprintpro.com/zh-hk/category/envelopes/,4,76,cat-fallback,med,→envelope-printing类目
https://www.z-printpro.com/products/envelope-printing/eco-envelope-printing-recycled-paper-c6-c7-compostable-hk.html,https://zprintpro.com/zh-hk/category/envelopes/,4,54,cat-fallback,med,→envelope-printing类目
https://www.z-printpro.com/products/packaging-box-printing/small-batch-packaging-box-printing-100pcs-from-hk08-hk.html,https://zprintpro.com/zh-hk/category/packaging/,3,244,cat-fallback,med,→packaging-box-printing类目
https://www.z-printpro.com/products/label-sticker-printing/basic-a4-sticker-printing.html,https://zprintpro.com/zh-hk/category/stickers/,3,151,cat-fallback,med,→label-sticker-printing类目
https://www.z-printpro.com/products/flyer-printing/a5-basic-flyer-printing-100pcs-student.html,https://zprintpro.com/zh-hk/product/a5-flyers/,3,134,hand-map,med,学生单张→A5 SKU
https://www.z-printpro.com/products/label-sticker-printing/food-grade-label-sticker-variable-data.html,https://zprintpro.com/zh-hk/category/stickers/,3,87,cat-fallback,med,→label-sticker-printing类目
https://www.z-printpro.com/products/flyer-printing/waterproof-a5-flyer-250g-matte-laminate.html,https://zprintpro.com/zh-hk/product/a5-flyers/,3,67,hand-map,med,防水单张→A5 SKU
https://www.z-printpro.com/products/enterprise-brochure-printing/school-yearbook-a4-perfect-bound.html,https://zprintpro.com/zh-hk/category/educational/,3,35,hand-map,high,毕业纪念册→教育类目
https://www.z-printpro.com/products/digital-printing/business-printing-package-monthly-account-bulk-docs-hk.html,https://zprintpro.com/zh-hk/category/educational/,3,27,cat-fallback,med,→digital-printing类目
https://www.z-printpro.com/products/folder-printing/eco-friendly-folder-printing-recycled-paper-hk.html,https://zprintpro.com/zh-hk/category/books/,3,26,cat-fallback,med,→folder-printing类目
https://www.z-printpro.com/news/design-printing/bleed-and-safe-margin-guide.html,https://zprintpro.com/zh-hk/blog/,2,527,news,low,news→design-printing主题页
https://www.z-printpro.com/products/packaging-box-printing/rush-packaging-box-printing-50pcs-2day-hk1-hk.html,https://zprintpro.com/zh-hk/category/packaging/,2,215,cat-fallback,med,→packaging-box-printing类目
https://www.z-printpro.com/products/enterprise-brochure-printing/a5-perfect-bound-brochure-printing.html,https://zprintpro.com/zh-hk/product/perfect-bound-books/,2,170,hand-map,high,胶装→对应SKU
https://www.z-printpro.com/products/red-packet-wedding-invitation-printing/,https://zprintpro.com/zh-hk/category/red-packets/,2,85,category,high,类目页→对应类目
https://www.z-printpro.com/products/poster-printing/poster-design-and-printing-same-day-layout-a1-a2-hk.html,https://zprintpro.com/zh-hk/category/posters/,2,84,cat-fallback,med,→poster-printing类目
https://www.z-printpro.com/products/folder-printing/,https://zprintpro.com/zh-hk/category/books/,2,71,category,high,类目页→对应类目
https://www.z-printpro.com/products/label-sticker-printing/fda-food-grade-label-sticker.html,https://zprintpro.com/zh-hk/category/stickers/,2,62,cat-fallback,med,→label-sticker-printing类目
https://www.z-printpro.com/products/packaging-box-printing/pharmaceutical-box-printing-moisture-proof-200pcs-qr-code-hk.html,https://zprintpro.com/zh-hk/category/packaging/,2,40,cat-fallback,med,→packaging-box-printing类目
https://www.z-printpro.com/products/business-card-printing/name-card-printing-hk-fast.html,,2,31,bc-decision,DECIDE,"⚠️名片禁区: 301→flyers 或 410, 待 user 拍板"
https://www.z-printpro.com/products/poster-printing/wedding-poster-printing-welcome-sign-photo-wall-foil-hk.html,https://zprintpro.com/zh-hk/category/posters/,2,28,cat-fallback,med,→poster-printing类目
https://www.z-printpro.com/products/folder-printing/a4-folder-printing-100pcs-hk199-rush-hk.html,https://zprintpro.com/zh-hk/category/books/,2,26,cat-fallback,med,→folder-printing类目
https://www.z-printpro.com/products/paper-bag-printing/mini-gift-bag-c7-wedding-favor-foil-ribbon-hk.html,https://zprintpro.com/zh-hk/category/paper-bags/,2,14,cat-fallback,med,→paper-bag-printing类目
