国家/地区,点击次数,展示,点击率,排名
中国香港,115,10042,1.15%,32.63
日本,8,812,0.99%,35.28
美国,6,1590,0.38%,19.46
台湾,4,204,1.96%,15.68
英国,2,167,1.2%,33.47
加拿大,2,92,2.17%,23.34
澳大利亚,2,57,3.51%,9.96
中国,1,189,0.53%,27.76
马来西亚,1,73,1.37%,36.86
越南,1,48,2.08%,21.21
阿拉伯联合酋长国,1,32,3.12%,49.94
泰国,1,25,4%,15.32
葡萄牙,1,7,14.29%,11.71
哈萨克斯坦,1,5,20%,16.2
冰岛,1,2,50%,7
哥斯达黎加,1,1,100%,2
荷兰,0,98,0%,8.83
新加坡,0,90,0%,17.02
德国,0,77,0%,15.13
印度,0,54,0%,21.8
菲律宾,0,46,0%,26.83
巴西,0,41,0%,16.46
印度尼西亚,0,32,0%,11.47
巴基斯坦,0,30,0%,16.53
澳门,0,29,0%,7.07
韩国,0,28,0%,8.32
乌克兰,0,27,0%,28.26
墨西哥,0,26,0%,10.5
意大利,0,21,0%,12.52
埃及,0,20,0%,22.55
法国,0,17,0%,7.41
沙特阿拉伯,0,16,0%,35.94
西班牙,0,15,0%,26
以色列,0,14,0%,33.71
瑞士,0,11,0%,13.45
俄罗斯,0,10,0%,19.5
孟加拉,0,10,0%,33.9
南非,0,9,0%,4.67
罗马尼亚,0,9,0%,7.44
比利时,0,9,0%,12
芬兰,0,9,0%,14.44
新西兰,0,7,0%,7
哥伦比亚,0,7,0%,12.71
阿根廷,0,7,0%,14.86
摩洛哥,0,7,0%,28.71
尼日利亚,0,7,0%,34.57
希腊,0,6,0%,9.17
柬埔寨,0,6,0%,13.67
挪威,0,5,0%,5.4
尼泊尔,0,5,0%,7.6
爱尔兰,0,5,0%,13.8
保加利亚,0,5,0%,17
丹麦,0,5,0%,20.4
匈牙利,0,4,0%,12.25
巴拿马,0,4,0%,16
波兰,0,4,0%,37.5
卡塔尔,0,4,0%,67.5
瑞典,0,3,0%,1.33
伊朗,0,3,0%,6
厄瓜多尔,0,3,0%,7
斯里兰卡,0,3,0%,7
肯尼亚,0,3,0%,9.33
阿曼,0,3,0%,10.67
秘鲁,0,3,0%,11.67
奥地利,0,3,0%,13.67
吉尔吉斯斯坦,0,3,0%,15.67
文莱,0,3,0%,18
突尼斯,0,3,0%,19.67
洪都拉斯,0,3,0%,25.67
蒙古,0,3,0%,64.33
乌拉圭,0,2,0%,8
智利,0,2,0%,10.5
黎巴嫩,0,2,0%,11.5
埃塞俄比亚,0,2,0%,13
土耳其,0,2,0%,16.5
巴林,0,2,0%,18
塞尔维亚,0,2,0%,19
伊拉克,0,2,0%,22
科威特,0,2,0%,35
白俄罗斯,0,2,0%,63
马达加斯加,0,1,0%,1
马绍尔群岛,0,1,0%,1
巴哈马,0,1,0%,2
苏里南,0,1,0%,2
克罗地亚,0,1,0%,3
新喀里多尼亚,0,1,0%,3
塞舌尔,0,1,0%,4
坦桑尼亚,0,1,0%,4
波斯尼亚和黑塞哥维那,0,1,0%,5
刚果 - 金沙萨,0,1,0%,6
莱索托,0,1,0%,6
马耳他,0,1,0%,6
塞浦路斯,0,1,0%,7
博茨瓦纳,0,1,0%,9
摩尔多瓦,0,1,0%,9
特立尼达和多巴哥,0,1,0%,9
危地马拉,0,1,0%,10
圭亚那,0,1,0%,10
老挝,0,1,0%,10
波多黎各,0,1,0%,10
斯洛文尼亚,0,1,0%,10
加纳,0,1,0%,11
索马里,0,1,0%,11
多哥,0,1,0%,12
佛得角,0,1,0%,16
几内亚比绍,0,1,0%,19
约旦,0,1,0%,20
塔吉克斯坦,0,1,0%,21
阿尔巴尼亚,0,1,0%,25
玻利维亚,0,1,0%,34
巴拉圭,0,1,0%,42
阿尔及利亚,0,1,0%,44
亚美尼亚,0,1,0%,89
