q,clicks_o,imps_o,pos_o,clicks_n,imps_n,pos_n,lane
紙盒訂製,0,447,37.91,0,122,58.65,NEW(跨境B2B钱词)
紙袋印刷,1,393,29.34,0,261,19.68,NEW(跨境B2B钱词)
紙袋訂製,0,381,35.92,0,223,54.49,NEW(跨境B2B钱词)
包裝盒印刷,0,359,27.34,0,157,50.62,NEW(跨境B2B钱词)
宣傳單張印刷,1,357,34.66,1,291,38.71,NEW(跨境B2B钱词)
印海報,0,347,31.27,0,244,36.16,NEW(跨境B2B钱词)
宣傳單張,0,336,47.02,0,299,40.29,NEW(跨境B2B钱词)
紙盒印刷,0,302,35.57,0,2,53.5,NEW(跨境B2B钱词)
海報印刷,0,295,40.94,0,261,31.43,NEW(跨境B2B钱词)
包裝盒訂製,0,291,31.5,0,185,43.54,NEW(跨境B2B钱词)
貼紙印刷,0,261,39.0,0,254,43.13,NEW(跨境B2B钱词)
食品包裝印刷,0,245,57.13,0,303,38.59,NEW(跨境B2B钱词)
戶外貼紙,0,215,27.11,0,54,37.0,NEW(跨境B2B钱词)
訂做紙袋,0,206,25.34,0,136,41.92,NEW(跨境B2B钱词)
印刷紙袋,0,197,34.4,0,125,29.12,NEW(跨境B2B钱词)
印咭片,0,190,29.07,0,53,29.55,NEW(跨境B2B钱词)
紙袋訂造,0,189,28.11,0,104,36.6,NEW(跨境B2B钱词)
紙袋訂做,0,185,22.36,0,92,48.07,NEW(跨境B2B钱词)
印紙袋,0,185,32.91,0,116,27.08,NEW(跨境B2B钱词)
紙袋印製,0,177,41.95,0,95,32.43,NEW(跨境B2B钱词)
騎馬釘印刷,0,176,30.23,0,74,38.35,NEW(跨境B2B钱词)
poster 印刷,0,174,38.45,0,122,31.24,NEW(跨境B2B钱词)
袋印刷,0,167,30.32,0,40,52.98,NEW(跨境B2B钱词)
咭片印刷,0,162,35.59,0,62,32.98,NEW(跨境B2B钱词)
印刷袋,0,151,40.3,0,3,36.33,NEW(跨境B2B钱词)
包裝印刷,0,151,37.2,0,50,52.86,NEW(跨境B2B钱词)
膠袋 印刷,0,144,46.75,0,13,59.23,NEW(跨境B2B钱词)
禮盒訂製,0,137,44.31,0,48,73.96,NEW(跨境B2B钱词)
膠袋印刷,0,135,47.49,0,11,56.82,NEW(跨境B2B钱词)
紙盒印製,0,133,39.67,0,4,66.75,NEW(跨境B2B钱词)
月曆印刷,0,129,46.15,0,93,44.02,NEW(跨境B2B钱词)
紙盒訂造,0,129,36.19,0,14,66.07,NEW(跨境B2B钱词)
紙袋,0,125,65.95,0,15,50.27,NEW(跨境B2B钱词)
印膠袋,0,125,40.02,0,40,50.67,NEW(跨境B2B钱词)
印紙盒,0,121,44.6,0,49,51.08,NEW(跨境B2B钱词)
紙袋批發,0,120,60.42,0,52,55.12,NEW(跨境B2B钱词)
海報與印刷,0,104,50.88,0,235,54.26,NEW(跨境B2B钱词)
食品印刷,0,97,31.56,0,66,38.44,NEW(跨境B2B钱词)
學校印刷,1,90,20.1,1,56,34.02,OLD(香港本地急件)
a1 印刷 即日,3,89,9.82,0,3,35.67,OLD(香港本地急件)
a3海報印刷,0,89,43.84,0,17,42.47,NEW(跨境B2B钱词)
印海報一張,0,85,35.96,0,89,48.24,OLD(香港本地急件)
貼紙訂製,0,76,33.04,0,110,57.47,NEW(跨境B2B钱词)
包裝盒,0,75,36.33,0,1,100.0,NEW(跨境B2B钱词)
禮盒訂做,0,67,33.45,0,25,68.08,NEW(跨境B2B钱词)
咭片,0,66,40.09,0,55,36.33,NEW(跨境B2B钱词)
海報過膠,0,65,46.43,0,6,37.5,OLD(香港本地急件)
