文件名,品类,slug,语言,编号,SKU匹配,状态,原大小KB,输出大小KB
zprintpro-flyers-a4-flyers-en-1.jpg,flyers,a4-flyers,en,1,FL-001,成功,490,82
zprintpro-flyers-a4-flyers-en-2.jpg,flyers,a4-flyers,en,2,FL-001,成功,496,85
zprintpro-flyers-a4-flyers-ja-1.jpg,flyers,a4-flyers,ja,1,FL-001,成功,544,103
zprintpro-flyers-a4-flyers-ja-2.jpg,flyers,a4-flyers,ja,2,FL-001,成功,504,86
zprintpro-flyers-a4-flyers-zh-hk-1.jpg,flyers,a4-flyers,zh-hk,1,FL-001,成功,498,86
zprintpro-flyers-a4-flyers-zh-hk-2.jpg,flyers,a4-flyers,zh-hk,2,FL-001,成功,557,109
zprintpro-flyers-a5-flyers-en-1.jpg,flyers,a5-flyers,en,1,FL-002,成功,438,72
zprintpro-flyers-a5-flyers-ja-1.jpg,flyers,a5-flyers,ja,1,FL-002,成功,540,97
zprintpro-flyers-a5-flyers-ja-2.jpg,flyers,a5-flyers,ja,2,FL-002,成功,553,104
zprintpro-flyers-a5-flyers-zh-hk-1.jpg,flyers,a5-flyers,zh-hk,1,FL-002,成功,519,99
zprintpro-flyers-a5-flyers-zh-hk-2.jpg,flyers,a5-flyers,zh-hk,2,FL-002,成功,533,103
zprintpro-flyers-a5-flyers-zh-hk-3.jpg,flyers,a5-flyers,zh-hk,3,FL-002,成功,577,111
zprintpro-flyers-a5-flyers-zh-hk-4.jpg,flyers,a5-flyers,zh-hk,4,FL-002,成功,531,101
zprintpro-flyers-double-sided-flyers-en-1.jpg,flyers,double-sided-flyers,en,1,FL-003,成功,472,84
zprintpro-flyers-double-sided-flyers-en-2.jpg,flyers,double-sided-flyers,en,2,FL-003,成功,534,87
zprintpro-flyers-double-sided-flyers-ja-1.jpg,flyers,double-sided-flyers,ja,1,FL-003,成功,504,91
zprintpro-flyers-double-sided-flyers-ja-2.jpg,flyers,double-sided-flyers,ja,2,FL-003,成功,487,84
zprintpro-flyers-double-sided-flyers-zh-hk-1.jpg,flyers,double-sided-flyers,zh-hk,1,FL-003,成功,603,122
zprintpro-flyers-double-sided-flyers-zh-hk-2.jpg,flyers,double-sided-flyers,zh-hk,2,FL-003,成功,564,107
zprintpro-flyers-double-sided-flyers-zh-hk-3.jpg,flyers,double-sided-flyers,zh-hk,3,FL-003,成功,540,103
zprintpro-flyers-double-sided-flyers-zh-hk-4.jpg,flyers,double-sided-flyers,zh-hk,4,FL-003,成功,575,114
zprintpro-flyers-eco-flyers-en-1.jpg,flyers,eco-flyers,en,1,FL-007,成功,441,68
zprintpro-flyers-eco-flyers-en-2.jpg,flyers,eco-flyers,en,2,FL-007,成功,514,90
zprintpro-flyers-eco-flyers-en-3.jpg,flyers,eco-flyers,en,3,FL-007,成功,492,78
zprintpro-flyers-eco-flyers-ja-1.jpg,flyers,eco-flyers,ja,1,FL-007,成功,453,69
zprintpro-flyers-eco-flyers-ja-2.jpg,flyers,eco-flyers,ja,2,FL-007,成功,520,88
zprintpro-flyers-eco-flyers-ja-3.jpg,flyers,eco-flyers,ja,3,FL-007,成功,448,63
zprintpro-flyers-eco-flyers-zh-hk-1.jpg,flyers,eco-flyers,zh-hk,1,FL-007,成功,486,84
zprintpro-flyers-eco-flyers-zh-hk-2.jpg,flyers,eco-flyers,zh-hk,2,FL-007,成功,518,89
zprintpro-flyers-eco-flyers-zh-hk-3.jpg,flyers,eco-flyers,zh-hk,3,FL-007,成功,522,87
zprintpro-flyers-folded-leaflets-en-1.jpg,flyers,folded-leaflets,en,1,FL-004,成功,460,69
zprintpro-flyers-folded-leaflets-en-2.jpg,flyers,folded-leaflets,en,2,FL-004,成功,482,85
zprintpro-flyers-folded-leaflets-ja-1.jpg,flyers,folded-leaflets,ja,1,FL-004,成功,416,62
zprintpro-flyers-folded-leaflets-ja-2.jpg,flyers,folded-leaflets,ja,2,FL-004,成功,475,73
zprintpro-flyers-folded-leaflets-zh-hk-1.jpg,flyers,folded-leaflets,zh-hk,1,FL-004,成功,515,91
zprintpro-flyers-folded-leaflets-zh-hk-2.jpg,flyers,folded-leaflets,zh-hk,2,FL-004,成功,534,103
