keyword,locale,search_volume_est,competition_level,current_ranker,opportunity_score,zprintpro_target_page,keyword_type
"防水貼紙 香港","zh-hk",480,"中","e-print",9,"/zh-hk/products/stickers","long-tail"
"少批量貼紙印刷 九龍","zh-hk",320,"低","本地印社",10,"/zh-hk/products/stickers","long-tail"
"透明貼紙 產品包裝","zh-hk",260,"低","无",10,"/zh-hk/products/stickers","long-tail"
"PVC貼紙 燙金","zh-hk",180,"低","无",9,"/zh-hk/products/stickers","long-tail"
"waterproof stickers hong kong","en",1200,"中","Vistaprint",8,"/en/products/stickers","long-tail"
"die cut stickers custom uk","en",890,"中","Stickermule",8,"/en/products/stickers","long-tail"
"clear vinyl stickers australia","en",650,"低","无",10,"/en/products/stickers","long-tail"
"hologram stickers bulk","en",540,"中","Vistaprint",7,"/en/products/stickers","long-tail"
"防水シール オーダー 香港","ja",220,"低","无",10,"/ja/products/stickers","long-tail"
"和紙シール 少ロット","ja",180,"低","无",10,"/ja/products/stickers","long-tail"
"A5傳單印刷 港島","zh-hk",520,"中","e-print",9,"/zh-hk/products/flyers","long-tail"
"宣傳單張派發 九龍","zh-hk",380,"低","无",10,"/zh-hk/products/flyers","long-tail"
"燙金傳單 奢侈品","zh-hk",210,"低","无",9,"/zh-hk/products/flyers","long-tail"
"flyer printing same day hong kong","en",980,"中","Gogoprint",8,"/en/products/flyers","long-tail"
"leaflet printing uk cheap","en",1500,"高","Vistaprint",6,"/en/products/flyers","long-tail"
"チラシ印刷 即日 香港","ja",280,"低","无",10,"/ja/products/flyers","long-tail"
"少ロット チラシ オーダー","ja",190,"低","无",10,"/ja/products/flyers","long-tail"
"磁吸禮盒 香港 定制","zh-hk",450,"中","本地工厂",9,"/zh-hk/products/packaging-boxes","long-tail"
"環保包裝盒 新界","zh-hk",310,"低","无",10,"/zh-hk/products/packaging-boxes","long-tail"
"化妝品盒 燙金 九龍","zh-hk",240,"低","无",9,"/zh-hk/products/packaging-boxes","long-tail"
"rigid box packaging hong kong","en",760,"中","Packhelp",8,"/en/products/packaging-boxes","long-tail"
"eco friendly gift boxes uk","en",920,"中","Packhelp",7,"/en/products/packaging-boxes","long-tail"
"ギフトボックス オーダーメイド 香港","ja",200,"低","无",10,"/ja/products/packaging-boxes","long-tail"
"A2海報印刷 香港","zh-hk",680,"中","e-print",8,"/zh-hk/products/posters","long-tail"
"戶外防水海報 九龍","zh-hk",420,"低","无",10,"/zh-hk/products/posters","long-tail"
"展覽海報 燙金","zh-hk",260,"低","无",9,"/zh-hk/products/posters","long-tail"
"A1 poster printing hong kong","en",1100,"中","Vistaprint",7,"/en/products/posters","long-tail"
"outdoor posters australia","en",580,"低","无",10,"/en/products/posters","long-tail"
"ポスター印刷 防水 香港","ja",240,"低","无",10,"/ja/products/posters","long-tail"
"環保紙袋 香港 定制","zh-hk",590,"中","e-print",8,"/zh-hk/products/paper-bags","long-tail"
"牛皮紙袋 九龍 少量","zh-hk",340,"低","无",10,"/zh-hk/products/paper-bags","long-tail"
"禮品紙袋 燙金 港島","zh-hk",280,"低","无",9,"/zh-hk/products/paper-bags","long-tail"
"eco paper bags hong kong wholesale","en",840,"中","Vistaprint",7,"/en/products/paper-bags","long-tail"
"kraft paper bags uk custom","en",720,"中","Noissue",8,"/en/products/paper-bags","long-tail"
"紙袋 オーダーメイド 和紙","ja",160,"低","无",10,"/ja/products/paper-bags","long-tail"
