国家/地区,点击次数,展示,点击率,排名
中国香港,24,2430,0.99%,36.19
日本,3,158,1.9%,35.59
台湾,1,24,4.17%,24.67
马来西亚,1,20,5%,53.2
越南,1,11,9.09%,12.64
冰岛,1,2,50%,7
美国,0,369,0%,19.63
中国,0,80,0%,47.55
英国,0,59,0%,46.63
加拿大,0,34,0%,30.38
印度,0,21,0%,37.1
新加坡,0,17,0%,7.71
澳大利亚,0,16,0%,6.44
菲律宾,0,9,0%,55.44
荷兰,0,8,0%,10
巴西,0,7,0%,6.29
墨西哥,0,7,0%,8.43
巴基斯坦,0,7,0%,11.43
乌克兰,0,7,0%,17
韩国,0,6,0%,7.5
印度尼西亚,0,6,0%,11.33
阿拉伯联合酋长国,0,6,0%,79.17
新西兰,0,5,0%,6.4
德国,0,4,0%,21.75
罗马尼亚,0,3,0%,6.67
俄罗斯,0,3,0%,8.33
柬埔寨,0,3,0%,8.67
澳门,0,3,0%,9.33
泰国,0,3,0%,10
埃及,0,3,0%,33.67
葡萄牙,0,2,0%,2.5
法国,0,2,0%,4
意大利,0,2,0%,6
保加利亚,0,2,0%,7.5
阿根廷,0,2,0%,11
爱尔兰,0,2,0%,12.5
哥伦比亚,0,2,0%,23.5
伊朗,0,1,0%,2
丹麦,0,1,0%,4
坦桑尼亚,0,1,0%,4
厄瓜多尔,0,1,0%,5
芬兰,0,1,0%,5
埃塞俄比亚,0,1,0%,6
塞浦路斯,0,1,0%,7
尼泊尔,0,1,0%,7
文莱,0,1,0%,9
南非,0,1,0%,9
瑞士,0,1,0%,10
危地马拉,0,1,0%,10
吉尔吉斯斯坦,0,1,0%,10
塞尔维亚,0,1,0%,10
巴林,0,1,0%,11
斯里兰卡,0,1,0%,11
多哥,0,1,0%,12
黎巴嫩,0,1,0%,13
秘鲁,0,1,0%,15
巴拿马,0,1,0%,25
匈牙利,0,1,0%,29
奥地利,0,1,0%,30
洪都拉斯,0,1,0%,49
哈萨克斯坦,0,1,0%,49
西班牙,0,1,0%,70
卡塔尔,0,1,0%,79
亚美尼亚,0,1,0%,89
